dataset,model,method,seed,exp_name,run_status,episode,labeled_count,best_val_accuracy,best_val_epoch,test_accuracy,train_time_sec,test_time_sec,acquisition_time_sec,round_time_sec,is_initial_sampling
CIFAR100,resnet18,coreset,1,coreset_1_50b,complete,0,100,3.760000000000005,48,3.8400000000000034,70.12803506851196,1.3707714080810547,7.24821662902832,78.74702310562134,False
CIFAR100,resnet18,coreset,1,coreset_1_50b,complete,1,150,4.920000000000002,196,4.859999999999999,69.59343528747559,1.4235002994537354,7.920343399047852,78.93727898597717,False
CIFAR100,resnet18,coreset,1,coreset_1_50b,complete,2,200,5.459999999999994,90,5.400000000000006,69.88015460968018,1.4503183364868164,7.332116603851318,78.66258955001831,False
CIFAR100,resnet18,coreset,1,coreset_1_50b,complete,3,250,5.859999999999999,154,6.25,73.74569964408875,1.4439475536346436,7.395576477050781,82.58522367477417,False
CIFAR100,resnet18,coreset,1,coreset_1_50b,complete,4,300,6.680000000000007,66,6.980000000000004,73.82662796974182,1.4356772899627686,7.428656339645386,82.69096159934998,False
CIFAR100,resnet18,coreset,1,coreset_1_50b,complete,5,350,7.200000000000003,88,7.3700000000000045,77.45115113258362,1.4255499839782715,7.419218301773071,86.29591941833496,False
CIFAR100,resnet18,coreset,1,coreset_1_50b,complete,6,400,7.540000000000006,14,7.670000000000002,77.74079465866089,1.4888134002685547,7.468729734420776,86.69833779335022,False
CIFAR100,resnet18,coreset,1,coreset_1_50b,complete,7,450,7.900000000000006,176,7.709999999999994,81.7866702079773,1.4106535911560059,7.497239112854004,90.6945629119873,False
CIFAR100,resnet18,coreset,1,coreset_1_50b,complete,8,500,8.540000000000006,162,7.930000000000007,81.80824255943298,1.404939889907837,7.527102947235107,90.74028539657593,False
CIFAR100,resnet18,coreset,1,coreset_1_50b,complete,9,550,8.420000000000002,138,8.150000000000006,84.96902966499329,1.4244816303253174,7.557708501815796,93.9512197971344,False
CIFAR100,resnet18,coreset,1,coreset_1_50b,complete,10,600,8.939999999999998,132,8.760000000000005,85.41930484771729,1.4606339931488037,7.532977819442749,94.41291666030884,False
CIFAR100,resnet18,coreset,1,coreset_1_50b,complete,11,650,9.219999999999999,194,8.969999999999999,88.38882541656494,1.4203851222991943,7.543285369873047,97.35249590873718,False
CIFAR100,resnet18,coreset,1,coreset_1_50b,complete,12,700,9.540000000000006,160,9.469999999999999,89.4506516456604,1.4612061977386475,7.551844596862793,98.46370244026184,False
CIFAR100,resnet18,coreset,1,coreset_1_50b,complete,13,750,9.540000000000006,108,9.530000000000001,92.04658269882202,1.438929557800293,7.525500535964966,101.01101279258728,False
CIFAR100,resnet18,coreset,1,coreset_1_50b,complete,14,800,10.219999999999999,136,10.069999999999993,92.47608995437622,1.403900384902954,7.450219631195068,101.33020997047424,False
CIFAR100,resnet18,coreset,1,coreset_1_50b,complete,15,850,10.299999999999997,196,10.239999999999995,95.68528318405151,1.4481689929962158,7.497574329376221,104.63102650642395,False
CIFAR100,resnet18,coreset,1,coreset_1_50b,complete,16,900,10.819999999999993,110,10.950000000000003,95.67242336273193,1.4404253959655762,7.544591665267944,104.65744042396545,False
CIFAR100,resnet18,coreset,1,coreset_1_50b,complete,17,950,11.060000000000002,70,11.299999999999997,99.09046602249146,1.4442970752716064,7.5310163497924805,108.06577944755554,False
CIFAR100,resnet18,coreset,1,coreset_1_50b,complete,18,1000,11.439999999999998,146,11.519999999999996,98.72500085830688,1.4242360591888428,7.514782905578613,107.66401982307434,False
CIFAR100,resnet18,coreset,1,coreset_1_50b,complete,19,1050,11.819999999999993,78,11.909999999999997,102.12379097938538,1.4602689743041992,7.556286573410034,111.14034652709961,False
CIFAR100,resnet18,coreset,1,coreset_1_50b,complete,20,1100,12.019999999999996,176,12.200000000000003,102.29525327682495,1.43337082862854,7.552775859832764,111.28139996528625,False
CIFAR100,resnet18,coreset,1,coreset_1_50b,complete,21,1150,12.459999999999994,196,12.120000000000005,105.6333122253418,1.4055659770965576,7.517059326171875,114.55593752861023,False
CIFAR100,resnet18,coreset,1,coreset_1_50b,complete,22,1200,12.920000000000002,116,12.879999999999995,106.04980039596558,1.5696690082550049,7.477813482284546,115.09728288650513,False
