dataset,model,method,seed,exp_name,run_status,episode,labeled_count,best_val_accuracy,best_val_epoch,test_accuracy,train_time_sec,test_time_sec,acquisition_time_sec,round_time_sec,is_initial_sampling
CIFAR100,resnet18,random,1,random_1_50b,complete,0,100,3.680000000000007,48,3.730000000000004,75.14743614196777,1.5506932735443115,0.00796055793762207,76.7060899734497,False
CIFAR100,resnet18,random,1,random_1_50b,complete,1,150,5.219999999999999,40,5.530000000000001,74.6728048324585,1.4600450992584229,0.007040500640869141,76.13989043235779,False
CIFAR100,resnet18,random,1,random_1_50b,complete,2,200,5.980000000000004,178,5.969999999999999,74.97913002967834,1.5020380020141602,0.005939006805419922,76.48710703849792,False
CIFAR100,resnet18,random,1,random_1_50b,complete,3,250,6.680000000000007,104,6.700000000000003,79.06451416015625,1.4961576461791992,0.006624460220336914,80.56729626655579,False
CIFAR100,resnet18,random,1,random_1_50b,complete,4,300,7.480000000000004,72,7.430000000000007,78.79101395606995,1.4557607173919678,0.006174325942993164,80.25294899940491,False
CIFAR100,resnet18,random,1,random_1_50b,complete,5,350,8.099999999999994,58,7.689999999999998,83.45261836051941,1.4989631175994873,0.006514310836791992,84.95809578895569,False
CIFAR100,resnet18,random,1,random_1_50b,complete,6,400,7.799999999999997,152,7.799999999999997,83.29114317893982,1.5445923805236816,0.006101369857788086,84.84183692932129,False
CIFAR100,resnet18,random,1,random_1_50b,complete,7,450,8.659999999999997,198,8.64,87.39226412773132,1.6057438850402832,0.005893707275390625,89.003901720047,False
CIFAR100,resnet18,random,1,random_1_50b,complete,8,500,9.159999999999997,104,9.420000000000002,87.28672361373901,1.5273001194000244,0.006290912628173828,88.82031464576721,False
CIFAR100,resnet18,random,1,random_1_50b,complete,9,550,9.579999999999998,158,9.5,91.94374346733093,1.5100853443145752,0.006510734558105469,93.46033954620361,False
CIFAR100,resnet18,random,1,random_1_50b,complete,10,600,9.739999999999995,100,9.900000000000006,91.02246189117432,1.489544153213501,0.006307125091552734,92.51831316947937,False
CIFAR100,resnet18,random,1,random_1_50b,complete,11,650,10.060000000000002,136,10.540000000000006,95.56712198257446,1.5053887367248535,0.006075859069824219,97.07858657836914,False
CIFAR100,resnet18,random,1,random_1_50b,complete,12,700,10.519999999999996,72,10.530000000000001,95.5570695400238,1.5459871292114258,0.006543636322021484,97.10960030555725,False
CIFAR100,resnet18,random,1,random_1_50b,complete,13,750,10.799999999999997,128,10.989999999999995,99.58346152305603,1.707747459411621,0.00690150260925293,101.2981104850769,False
CIFAR100,resnet18,random,1,random_1_50b,complete,14,800,11.579999999999998,160,11.239999999999995,100.35759711265564,1.5397474765777588,0.006948709487915039,101.90429329872131,False
CIFAR100,resnet18,random,1,random_1_50b,complete,15,850,11.719999999999999,144,12.010000000000005,104.63335847854614,1.4970183372497559,0.0066645145416259766,106.13704133033752,False
CIFAR100,resnet18,random,1,random_1_50b,complete,16,900,12.219999999999999,118,11.709999999999994,105.05353665351868,1.548435926437378,0.00624847412109375,106.60822105407715,False
CIFAR100,resnet18,random,1,random_1_50b,complete,17,950,12.540000000000006,158,12.680000000000007,109.24602103233337,1.5346648693084717,0.007165431976318359,110.78785133361816,False
CIFAR100,resnet18,random,1,random_1_50b,complete,18,1000,12.879999999999995,188,13.060000000000002,108.92325472831726,1.5708668231964111,0.007066965103149414,110.50118851661682,False
CIFAR100,resnet18,random,1,random_1_50b,complete,19,1050,13.420000000000002,172,13.900000000000006,112.32957744598389,1.5092225074768066,0.006638288497924805,113.84543824195862,False
CIFAR100,resnet18,random,1,random_1_50b,complete,20,1100,13.599999999999994,178,13.64,113.31925177574158,1.6042044162750244,0.007245540618896484,114.9307017326355,False
CIFAR100,resnet18,random,1,random_1_50b,complete,21,1150,14.060000000000002,102,14.14,117.94039011001587,1.491638422012329,0.0069751739501953125,119.4390037059784,False
CIFAR100,resnet18,random,1,random_1_50b,complete,22,1200,14.060000000000002,138,14.14,117.10135436058044,1.5628595352172852,0.006974697113037109,118.67118859291077,False
CIFAR100,resnet18,random,1,random_1_50b,complete,23,1250,14.540000000000006,180,14.939999999999998,120.53246092796326,1.61946702003479,0.006595611572265625,122.15852355957031,False
CIFAR100,resnet18,random,1,random_1_50b,complete,24,1300,14.459999999999994,174,14.420000000000002,121.504709482193,1.524890661239624,0.006632804870605469,123.03623294830322,False
CIFAR100,resnet18,random,1,random_1_50b,complete,25,1350,15.340000000000003,110,15.11,125.04567670822144,1.569655179977417,0.006888628005981445,126.62222051620483,False
CIFAR100,resnet18,random,1,random_1_50b,complete,26,1400,15.459999999999994,170,15.64,125.31819725036621,1.5166268348693848,0.0070455074310302734,126.84186959266663,False
CIFAR100,resnet18,random,1,random_1_50b,complete,27,1450,15.819999999999993,196,15.540000000000006,127.85568523406982,1.443016767501831,0.006471872329711914,129.30517387390137,False
CIFAR100,resnet18,random,1,random_1_50b,complete,28,1500,15.879999999999995,126,15.89,128.33001613616943,1.5144157409667969,0.006735563278198242,129.85116744041443,False
CIFAR100,resnet18,random,1,random_1_50b,complete,29,1550,16.200000000000003,190,16.14,133.5635371208191,1.5311224460601807,0.008666753768920898,135.1033263206482,False
CIFAR100,resnet18,random,1,random_1_50b,complete,30,1600,16.060000000000002,110,16.150000000000006,132.91619634628296,1.5106515884399414,0.006458282470703125,134.4333062171936,False
CIFAR100,resnet18,random,1,random_1_50b,complete,31,1650,16.799999999999997,100,17.049999999999997,136.1392388343811,1.575676679611206,0.006756782531738281,137.72167229652405,False
CIFAR100,resnet18,random,1,random_1_50b,complete,32,1700,17.299999999999997,164,17.150000000000006,137.48224449157715,1.527806043624878,0.00787663459777832,139.0179271697998,False
CIFAR100,resnet18,random,1,random_1_50b,complete,33,1750,17.28,118,17.150000000000006,140.15212321281433,1.4674351215362549,0.006662130355834961,141.62622046470642,False
CIFAR100,resnet18,random,1,random_1_50b,complete,34,1800,17.620000000000005,148,17.569999999999993,141.51173877716064,1.507279634475708,0.007031440734863281,143.02604985237122,False
CIFAR100,resnet18,random,1,random_1_50b,complete,35,1850,17.78,120,17.53999992370605,146.45934987068176,1.4855155944824219,0.008723258972167969,147.95358872413635,False
CIFAR100,resnet18,random,1,random_1_50b,complete,36,1900,18.28,186,18.209999999999994,144.8377501964569,1.5492351055145264,0.006456613540649414,146.39344191551208,False
CIFAR100,resnet18,random,1,random_1_50b,complete,37,1950,18.120000000000005,112,18.439999923706054,148.63867497444153,1.585996150970459,0.0061969757080078125,150.23086810112,False
CIFAR100,resnet18,random,1,random_1_50b,complete,38,2000,18.560000000000002,84,18.609999923706056,148.23458790779114,1.6199696063995361,0.010154485702514648,149.8647119998932,False
CIFAR100,resnet18,random,1,random_1_50b,complete,39,2050,18.22,168,18.900000000000006,153.5733335018158,1.4895999431610107,0.006407260894775391,155.06934070587158,False
