dataset,model,method,seed,exp_name,run_status,episode,labeled_count,best_val_accuracy,best_val_epoch,test_accuracy,train_time_sec,test_time_sec,acquisition_time_sec,round_time_sec,is_initial_sampling
CIFAR10,resnet18,coreset,1,coreset_1_50b,complete,0,100,24.73999969482422,150.0,24.279999694824212,76.39393401145935,1.4234657287597656,7.128013372421265,84.94541311264038,False
CIFAR10,resnet18,coreset,1,coreset_1_50b,complete,1,150,27.75999923706054,174.0,26.45999946594239,75.26765131950378,1.4758985042572021,7.54897665977478,84.29252648353577,False
CIFAR10,resnet18,coreset,1,coreset_1_50b,complete,2,200,30.799999389648434,188.0,30.08999965667725,76.41421556472778,1.5188050270080566,7.373176574707031,85.30619716644287,False
CIFAR10,resnet18,coreset,1,coreset_1_50b,complete,3,250,31.459999008178713,148.0,31.259999160766597,79.87720489501953,1.4395098686218262,7.908212423324585,89.22492718696594,False
CIFAR10,resnet18,coreset,1,coreset_1_50b,complete,4,300,35.159998855590814,160.0,33.80999923706055,80.50380897521973,1.4777660369873047,7.041553497314453,89.02312850952148,False
CIFAR10,resnet18,coreset,1,coreset_1_50b,complete,5,350,36.17999870300293,164.0,35.099998970031734,83.42461156845093,1.5780518054962158,7.191725015640259,92.1943883895874,False
CIFAR10,resnet18,coreset,1,coreset_1_50b,complete,6,400,37.87999870300293,150.0,37.30999935150147,83.91076946258545,1.477182149887085,7.134253740310669,92.5222053527832,False
CIFAR10,resnet18,coreset,1,coreset_1_50b,complete,7,450,38.77999870300293,148.0,37.58999877929688,87.11523199081421,1.5110242366790771,7.281388998031616,95.9076452255249,False
CIFAR10,resnet18,coreset,1,coreset_1_50b,complete,8,500,41.21999855041504,172.0,40.679998550415036,87.59996294975281,1.4972765445709229,7.328335285186768,96.4255747795105,False
CIFAR10,resnet18,coreset,1,coreset_1_50b,complete,9,550,42.559998779296876,144.0,39.9799987411499,92.36013102531433,1.6195409297943115,7.1233320236206055,101.10300397872925,False
CIFAR10,resnet18,coreset,1,coreset_1_50b,complete,10,600,43.11999870300293,140.0,41.489999008178714,91.33276748657227,1.4941082000732422,7.197254657745361,100.02413034439087,False
CIFAR10,resnet18,coreset,1,coreset_1_50b,complete,11,650,43.31999816894531,142.0,42.00999870300293,97.47624349594116,1.5037541389465332,7.270005464553833,106.25000309944153,False
CIFAR10,resnet18,coreset,1,coreset_1_50b,complete,12,700,43.93999839782715,144.0,43.179998550415036,97.2295446395874,1.485753059387207,7.251802682876587,105.9671003818512,False
