dataset,model,method,n_seeds,final_test_accuracy_mean,final_test_accuracy_std,final_val_accuracy_mean,final_val_accuracy_std
CIFAR10,resnet18,margin,5,75.65799801445007,0.8698964827765863,76.9719982070923,0.8821107621527794
CIFAR10,resnet18,entropy,5,75.41599810409545,0.9412119507919909,75.94799805450438,1.2118248591327456
CIFAR10,resnet18,uncertainty,5,75.35599805259704,0.7448691143425072,75.91999806213377,0.7038464714857947
CIFAR10,resnet18,dbal,5,74.61199816322326,0.4118495158182884,75.5999980545044,0.8167007815054155
CIFAR10,resnet18,probcover,5,73.83599839019776,0.912129567767854,74.52799812698365,1.0795925411085705
CIFAR10,resnet18,random,5,73.0519981765747,0.8634060871320726,73.88399798965455,0.7317647299110562
CIFAR10,resnet18,coreset,5,72.64399810600281,0.5115468586539041,73.83599811553955,0.9513570378520101
CIFAR10,resnet18,maxherding,5,72.39799816131593,0.9571416758977637,73.10399829864502,1.1508606277386157
CIFAR10,resnet18,idprobcover,5,72.21799808883667,0.5469185720470087,73.36799807739257,0.2586889853664407
CIFAR10,resnet18,distance_variance_cover,5,69.02199818420411,0.43407363200627497,70.1919982070923,1.0396729449855064
CIFAR10,resnet18,distance_cv_cover,5,66.08599832153321,1.0954586511553868,66.59199848937989,1.0278714664718447
CIFAR10,resnet18,density_cover,5,62.66799848937988,0.29098107197084655,63.49199824523926,0.47235593054624764
CIFAR10,resnet18,knn_distance_cover,5,62.38999855804443,0.4618982785647406,63.19999845123291,0.6074536900078682
