dataset,model,method,seed,exp_name,run_status,episode,labeled_count,best_val_accuracy,best_val_epoch,test_accuracy,train_time_sec,test_time_sec,acquisition_time_sec,round_time_sec,is_initial_sampling
CIFAR10,resnet18,dbal,1,dbal_1_50b,complete,0,100,25.379999084472658,146,25.149999389648443,74.14639282226562,1.5618038177490234,29.099026918411255,104.8072235584259,False
CIFAR10,resnet18,dbal,1,dbal_1_50b,complete,1,150,30.159999771118166,90,29.77999946594238,74.11404538154602,1.4586684703826904,30.019590616226196,105.59230446815491,False
CIFAR10,resnet18,dbal,1,dbal_1_50b,complete,2,200,31.979999084472652,188,30.819999351501465,74.84229969978333,1.4798336029052734,32.7079701423645,109.0301034450531,False
CIFAR10,resnet18,dbal,1,dbal_1_50b,complete,3,250,32.55999900817871,112,31.989999237060545,78.00398921966553,1.4785614013671875,29.50123953819275,108.98379015922546,False
CIFAR10,resnet18,dbal,1,dbal_1_50b,complete,4,300,34.95999923706054,108,34.33999900817871,77.93717384338379,1.4783456325531006,30.33589267730713,109.75141215324402,False
CIFAR10,resnet18,dbal,1,dbal_1_50b,complete,5,350,34.959999084472656,94,33.729999465942385,82.04940795898438,1.5837748050689697,31.237770795822144,114.87095355987549,False
CIFAR10,resnet18,dbal,1,dbal_1_50b,complete,6,400,36.399999084472654,182,35.12999919891358,81.97507691383362,1.4616758823394775,31.81420373916626,115.25095653533936,False
CIFAR10,resnet18,dbal,1,dbal_1_50b,complete,7,450,38.67999885559082,194,36.829998893737795,85.96498441696167,1.4942810535430908,30.535141468048096,117.99440693855286,False
CIFAR10,resnet18,dbal,1,dbal_1_50b,complete,8,500,38.97999862670898,194,38.36999858856201,86.11803078651428,1.5172955989837646,28.48170256614685,116.1170289516449,False
CIFAR10,resnet18,dbal,1,dbal_1_50b,complete,9,550,40.99999893188477,200,39.89999813079834,89.54026508331299,1.5826783180236816,29.436293125152588,120.55923652648926,False
CIFAR10,resnet18,dbal,1,dbal_1_50b,complete,10,600,40.3399983215332,186,39.57999881744385,89.97285151481628,1.4492766857147217,30.369555711746216,121.79168391227722,False
CIFAR10,resnet18,dbal,1,dbal_1_50b,complete,11,650,44.03999893188477,184,42.41999866485596,93.18182730674744,1.4665935039520264,29.806724548339844,124.4551453590393,False
CIFAR10,resnet18,dbal,1,dbal_1_50b,complete,12,700,44.059998779296876,198,43.93999931335449,93.23491382598877,1.5056698322296143,29.30825972557068,124.04884338378906,False
CIFAR10,resnet18,dbal,1,dbal_1_50b,complete,13,750,44.05999885559082,176,43.45999866485596,97.08415579795837,1.4475719928741455,31.98279881477356,130.51452660560608,False
CIFAR10,resnet18,dbal,1,dbal_1_50b,complete,14,800,44.55999893188476,134,44.279999237060544,98.5615348815918,1.4332804679870605,32.378666400909424,132.37348175048828,False
CIFAR10,resnet18,dbal,1,dbal_1_50b,complete,15,850,45.69999908447266,186,44.90999897003174,100.82266736030579,1.586195468902588,29.89352250099182,132.3023853302002,False
CIFAR10,resnet18,dbal,1,dbal_1_50b,complete,16,900,45.41999839782715,188,45.72999881744385,101.38555192947388,1.4752492904663086,28.91230797767639,131.77310919761658,False
CIFAR10,resnet18,dbal,1,dbal_1_50b,complete,17,950,47.579999160766604,184,47.78999927520752,105.17970824241638,1.4765417575836182,29.177760362625122,135.83401036262512,False
CIFAR10,resnet18,dbal,1,dbal_1_50b,complete,18,1000,48.159999237060546,164,47.799998931884765,103.49252510070801,1.457108736038208,30.045154571533203,134.99478840827942,False
CIFAR10,resnet18,dbal,1,dbal_1_50b,complete,19,1050,49.61999961853027,166,49.829999389648435,109.2207407951355,1.4749374389648438,30.12898850440979,140.82466673851013,False
CIFAR10,resnet18,dbal,1,dbal_1_50b,complete,20,1100,50.09999938964844,198,49.96999866485596,108.7701644897461,1.5089378356933594,33.257869243621826,143.53697156906128,False
CIFAR10,resnet18,dbal,1,dbal_1_50b,complete,21,1150,51.09999938964844,200,50.74999900817871,113.2867443561554,1.5646116733551025,28.45574450492859,143.3071005344391,False
