dataset,model,method,seed,exp_name,run_status,episode,labeled_count,best_val_accuracy,best_val_epoch,test_accuracy,train_time_sec,test_time_sec,acquisition_time_sec,round_time_sec,is_initial_sampling
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,-1,50,,,,,,1.7192316055297852,1.7192316055297852,True
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,0,100,26.459999771118163,64.0,25.689999542236322,77.29854416847229,1.5069894790649414,1.408562183380127,80.21409583091736,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,1,150,28.91999938964844,194.0,28.039998855590824,76.77649259567261,1.6419942378997803,1.3068130016326904,79.72529983520508,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,2,200,33.139999542236325,132.0,33.039999084472655,77.30582642555237,1.520292043685913,1.4176573753356934,80.24377584457397,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,3,250,36.099999542236326,178.0,35.369999198913575,81.23466897010803,1.5306379795074463,1.4099111557006836,84.17521810531616,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,4,300,38.03999870300293,190.0,36.85999900817871,82.10996270179749,1.5382347106933594,1.3810977935791016,85.02929520606995,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,5,350,40.059998779296876,160.0,38.72999855041504,86.1389844417572,1.6601040363311768,1.3230137825012207,89.1221022605896,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,6,400,41.55999855041504,196.0,40.119998626708984,85.76858949661255,1.4848031997680664,1.453540563583374,88.70693325996399,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,7,450,43.31999885559082,166.0,42.409998664855955,90.07128190994263,1.5103561878204346,1.4216396808624268,93.00327777862549,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,8,500,45.85999885559082,174.0,44.72999908447266,89.65377712249756,1.5044775009155273,1.4489119052886963,92.60716652870178,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,9,550,47.13999855041504,164.0,46.50999927520752,93.50845718383789,1.518033504486084,1.2715775966644287,96.2980682849884,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,10,600,48.0999991607666,198.0,47.22999908447266,93.80924367904663,1.4859075546264648,1.3911068439483643,96.68625807762146,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,11,650,49.559999313354496,190.0,49.209999351501466,97.74508500099182,1.498100996017456,1.4244155883789062,100.66760158538818,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,12,700,49.199999771118165,182.0,48.52999919891357,98.0167191028595,1.485273838043213,1.3936717510223389,100.89566469192505,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,13,750,50.55999908447266,190.0,48.85999904632568,101.57735586166382,1.4990184307098389,1.4192426204681396,104.4956169128418,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,14,800,51.75999923706055,176.0,50.7799991607666,101.44471645355225,1.5251238346099854,1.2957992553710938,104.26563954353333,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,15,850,51.69999908447266,152.0,51.06999927520752,105.49363923072815,1.520338535308838,1.3055143356323242,108.31949210166931,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,16,900,53.259999160766604,182.0,51.5699991607666,106.1539626121521,1.5280485153198242,1.4180448055267334,109.10005593299866,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,17,950,54.339999237060546,200.0,53.189998893737794,109.76518368721008,1.520439863204956,1.441953420639038,112.72757697105408,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,18,1000,52.55999885559082,200.0,51.83999927520752,109.52347612380981,1.5422801971435547,1.4066271781921387,112.47238349914551,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,19,1050,54.319999084472656,200.0,53.2499987411499,113.58579182624817,1.495551586151123,1.2863247394561768,116.36766815185547,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,20,1100,54.699999237060545,188.0,54.20999858856201,114.45867276191711,1.6108524799346924,1.2906289100646973,117.3601541519165,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,21,1150,55.11999885559082,182.0,54.12999889373779,117.96476578712463,1.5492002964019775,1.419611930847168,120.93357801437378,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,22,1200,56.41999900817871,174.0,54.279999046325685,118.04255056381226,1.4675915241241455,1.4311692714691162,120.94131135940552,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,23,1250,56.239998779296876,180.0,54.449998931884764,121.72947669029236,1.465270757675171,1.4403975009918213,124.63514494895935,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,24,1300,57.45999923706054,176.0,55.199998970031736,121.7597348690033,1.5530292987823486,1.4164350032806396,124.72919917106628,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,25,1350,55.97999851226807,150.0,54.389998779296874,124.52719902992249,1.4884095191955566,1.4235408306121826,127.43914937973022,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,26,1400,56.69999900817871,198.0,55.41999912261963,125.70507979393005,1.605973482131958,1.28812837600708,128.5991816520691,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,27,1450,56.41999870300293,170.0,55.47999900817871,129.59583568572998,1.5100054740905762,1.3221001625061035,132.42794132232666,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,28,1500,57.839998435974124,150.0,56.48999885559082,129.33059453964233,1.4912803173065186,1.2825007438659668,132.10437560081482,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,29,1550,56.47999877929688,194.0,54.48999881744385,133.31998372077942,1.506176471710205,1.4653608798980713,136.2915210723877,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,30,1600,56.75999839782715,184.0,55.5499990272522,134.3624358177185,1.5170862674713135,1.3168647289276123,137.19638681411743,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,31,1650,56.09999870300293,152.0,54.82999866485596,137.67924880981445,1.4989993572235107,1.4259295463562012,140.60417771339417,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,32,1700,57.599998779296875,186.0,56.589998989105226,136.36362385749817,1.4792752265930176,1.2978050708770752,139.14070415496826,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,33,1750,56.85999855041504,198.0,55.85999885559082,140.71694350242615,1.616673231124878,1.2861640453338623,143.6197807788849,False
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,34,1800,57.17999900817871,198.0,55.60999864578247,141.37753033638,1.5373814105987549,1.4213922023773193,144.33630394935608,False
