dataset,model,method,seed,exp_name,run_status,episode,labeled_count,best_val_accuracy,best_val_epoch,test_accuracy,train_time_sec,test_time_sec,acquisition_time_sec,round_time_sec,is_initial_sampling
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,-1,50,,,,,,1.6412222385406494,1.6412222385406494,True
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,0,100,22.999999542236324,54.0,22.85999977111817,72.13056015968323,1.4605600833892822,1.380244255065918,74.97136449813843,False
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,1,150,28.73999969482422,122.0,28.90999931335449,72.48312783241272,1.5163168907165527,1.3218231201171875,75.32126784324646,False
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,2,200,29.71999908447266,126.0,30.329998779296872,72.83921432495117,1.4481146335601807,1.369964599609375,75.65729355812073,False
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,3,250,34.619999160766596,182.0,35.71999900817872,76.82744312286377,1.4643526077270508,1.4216840267181396,79.71347975730896,False
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,4,300,34.9599991607666,194.0,35.8199991607666,77.21238398551941,1.4202899932861328,1.3727445602416992,80.00541853904724,False
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,5,350,37.91999893188476,142.0,37.809998512268066,80.98050785064697,1.552466869354248,1.3343942165374756,83.8673689365387,False
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,6,400,39.65999855041504,136.0,38.90999912261963,81.53632640838623,1.4675743579864502,1.386387825012207,84.39028859138489,False
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,7,450,39.599998245239256,162.0,39.17999866485596,85.00137281417847,1.4406640529632568,1.4004755020141602,87.84251236915588,False
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,8,500,41.89999900817871,170.0,41.30999858856201,84.4281713962555,1.4798836708068848,1.3842966556549072,87.29235172271729,False
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,9,550,43.53999839782715,178.0,42.6199991607666,88.33929085731506,1.447981834411621,1.2817003726959229,91.06897306442261,False
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,10,600,42.73999839782715,172.0,42.07999851226807,88.89926433563232,1.5447089672088623,1.3074941635131836,91.75146746635437,False
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,11,650,44.879998931884764,198.0,43.179999084472655,92.45535516738892,1.4332964420318604,1.4033427238464355,95.29199433326721,False
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,12,700,45.319998321533205,134.0,44.37999881744385,92.61190390586853,1.4415175914764404,1.411698818206787,95.46512031555176,False
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,13,750,46.219998626708986,182.0,44.30999893188476,95.74700021743774,1.6019949913024902,1.305624008178711,98.65461921691895,False
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,14,800,47.25999931335449,168.0,45.91999885559082,95.48208665847778,1.4568147659301758,1.4076344966888428,98.3465359210968,False
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,15,850,48.099999237060544,188.0,46.41999912261963,99.12781882286072,1.4444501399993896,1.3821871280670166,101.95445609092712,False
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,16,900,49.37999946594238,184.0,49.37999908447266,99.47879576683044,1.54830002784729,1.278520107269287,102.30561590194702,False
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,17,950,49.419999237060544,188.0,47.8799991607666,103.39566946029663,1.4368410110473633,1.43035888671875,106.26286935806274,False
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,18,1000,50.33999961853027,168.0,47.88999912261963,103.511070728302,1.4392304420471191,1.4118564128875732,106.3621575832367,False
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,19,1050,52.059998779296876,178.0,49.91999908447266,106.8948712348938,1.430854320526123,1.2826566696166992,109.60838222503662,False
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,20,1100,52.139999618530275,166.0,49.92999900817871,106.87260675430298,1.4691922664642334,1.4032316207885742,109.74503064155579,False
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,21,1150,53.41999885559082,200.0,51.98999935150147,114.62394547462463,1.5943255424499512,1.2833576202392578,117.50162863731384,False
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,22,1200,53.21999893188477,182.0,50.19999912261963,110.45236992835999,1.4183449745178223,1.4181838035583496,113.28889870643616,False
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,23,1250,53.33999885559082,182.0,51.02999919891357,114.47488927841187,1.4711158275604248,1.3063609600067139,117.252366065979,False
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,24,1300,53.97999923706055,172.0,50.93999927520752,114.55511403083801,1.43546724319458,1.3178737163543701,117.30845499038696,False
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,25,1350,55.21999893188477,186.0,52.08999908447266,117.85778760910034,1.4055142402648926,1.307070016860962,120.5703718662262,False
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,26,1400,55.47999870300293,186.0,53.689998931884766,118.7121319770813,1.4165582656860352,1.364835262298584,121.49352550506592,False
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,27,1450,57.379998931884764,172.0,55.109998817443845,122.04678201675415,1.4465129375457764,1.4097256660461426,124.90302062034607,False
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,28,1500,57.51999855041504,194.0,55.36999908447265,121.13500046730042,1.4910550117492676,1.3658168315887451,123.99187231063843,False
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,29,1550,58.11999904632568,140.0,55.809999027252196,125.40195775032043,1.4333817958831787,1.3984367847442627,128.23377633094788,False
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,30,1600,56.11999908447265,172.0,54.619998931884766,125.23596930503845,1.4350569248199463,1.4017515182495117,128.0727777481079,False
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,31,1650,58.11999900817871,194.0,55.27999893188476,127.59585976600647,1.4459214210510254,1.3120100498199463,130.35379123687744,False
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,32,1700,57.959999084472656,134.0,55.85999868392944,128.090678691864,1.428910255432129,1.3993098735809326,130.91889882087708,False
