dataset,model,method,seed,exp_name,run_status,episode,labeled_count,best_val_accuracy,best_val_epoch,test_accuracy,train_time_sec,test_time_sec,acquisition_time_sec,round_time_sec,is_initial_sampling
CIFAR10,resnet18,entropy,1,entropy_1_50b,complete,0,100,25.540000000000006,186,25.039999618530274,71.4111099243164,1.4959001541137695,6.193138599395752,79.10014867782593,False
CIFAR10,resnet18,entropy,1,entropy_1_50b,complete,1,150,27.979999542236328,180,27.869999351501463,70.8752977848053,1.4033148288726807,6.38477635383606,78.66338896751404,False
CIFAR10,resnet18,entropy,1,entropy_1_50b,complete,2,200,30.59999893188477,176,30.549999389648434,71.84714245796204,1.4439313411712646,6.194220781326294,79.4852945804596,False
CIFAR10,resnet18,entropy,1,entropy_1_50b,complete,3,250,31.77999908447265,90,32.04999946594238,74.49376916885376,1.4278407096862793,6.177408933639526,82.09901881217957,False
CIFAR10,resnet18,entropy,1,entropy_1_50b,complete,4,300,34.379999542236334,162,33.33999927520752,74.42312788963318,1.4005839824676514,6.499155759811401,82.32286763191223,False
CIFAR10,resnet18,entropy,1,entropy_1_50b,complete,5,350,35.11999908447265,198,33.979999160766596,77.69806551933289,1.3831965923309326,6.175060510635376,85.2563226222992,False
CIFAR10,resnet18,entropy,1,entropy_1_50b,complete,6,400,36.07999885559082,148,35.28999912261963,77.81718873977661,1.3884689807891846,6.191545486450195,85.39720320701599,False
CIFAR10,resnet18,entropy,1,entropy_1_50b,complete,7,450,36.89999870300293,174,36.459999084472656,81.22731566429138,1.3762924671173096,6.19566011428833,88.79926824569702,False
CIFAR10,resnet18,entropy,1,entropy_1_50b,complete,8,500,38.11999908447265,188,37.99999866485596,81.40611958503723,1.3800404071807861,6.141611337661743,88.92777132987976,False
CIFAR10,resnet18,entropy,1,entropy_1_50b,complete,9,550,40.05999862670898,196,39.69999870300293,85.33420968055725,1.429246187210083,6.156279563903809,92.91973543167114,False
