dataset,model,method,seed,exp_name,run_status,episode,labeled_count,best_val_accuracy,best_val_epoch,test_accuracy,train_time_sec,test_time_sec,acquisition_time_sec,round_time_sec,is_initial_sampling
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,-1,50,,,,,,83.98927593231201,83.98927593231201,True
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,0,100,24.87999984741211,140.0,25.379999618530277,77.18007445335388,1.6002840995788574,1.9837861061096191,80.76414465904236,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,1,150,29.57999908447266,168.0,29.519998970031736,75.88678359985352,1.5169858932495117,2.057832717895508,79.46160221099854,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,2,200,34.0199991607666,144.0,33.4599995803833,76.34085273742676,1.5251147747039795,1.925858974456787,79.79182648658752,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,3,250,34.399999847412104,136.0,33.369998931884766,80.28524494171143,1.4738070964813232,2.0708725452423096,83.82992458343506,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,4,300,37.51999908447266,150.0,35.999998893737796,79.80043196678162,1.4896211624145508,2.0816149711608887,83.37166810035706,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,5,350,40.37999862670898,150.0,39.18999870300293,84.14192390441895,1.4917690753936768,1.936870813369751,87.57056379318237,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,6,400,40.81999816894531,162.0,39.95999923706054,84.08904719352722,1.631211280822754,1.9918854236602783,87.71214389801025,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,7,450,43.37999870300293,182.0,43.139998817443846,88.01871013641357,1.5002119541168213,2.0665102005004883,91.58543229103088,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,8,500,45.69999885559082,196.0,44.77999881744385,88.2799654006958,1.8918099403381348,2.7419991493225098,92.91377449035645,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,9,550,45.919998474121094,158.0,44.7999987411499,93.01697301864624,1.504148244857788,2.154353141784668,96.6754744052887,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,10,600,46.139998779296874,194.0,45.35999904632568,92.9077672958374,1.5689337253570557,2.1953887939453125,96.67208981513977,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,11,650,48.799999389648434,156.0,47.45999919891357,97.88703656196594,1.5552978515625,2.197681188583374,101.64001560211182,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,12,700,48.09999908447266,160.0,46.89999893188477,98.69447708129883,1.5134987831115723,2.2353734970092773,102.44334936141968,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,13,750,50.459999084472656,196.0,48.78999923706055,101.82373309135437,1.5903363227844238,2.209613800048828,105.62368321418762,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,14,800,49.9199991607666,186.0,48.69999900817871,101.74242091178894,1.5312511920928955,2.0294151306152344,105.30308723449707,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,15,850,50.57999855041504,200.0,49.139999084472656,106.25044870376587,1.5121808052062988,2.037764549255371,109.80039405822754,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,16,900,52.15999900817871,186.0,50.88999900817871,106.59695482254028,1.5320630073547363,2.031381607055664,110.16039943695068,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,17,950,51.59999908447266,200.0,50.749999351501465,109.30488777160645,1.508577585220337,2.1723525524139404,112.98581790924072,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,18,1000,54.35999893188477,200.0,53.18999839782715,109.47789931297302,1.551604986190796,2.158933639526367,113.18843793869019,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,19,1050,55.07999877929687,200.0,53.879999008178714,113.57289981842041,1.6745340824127197,1.9826819896697998,117.23011589050293,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,20,1100,55.9399984741211,200.0,53.85999912261963,113.29729866981506,1.5137901306152344,2.0170300006866455,116.82811880111694,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,21,1150,56.63999900817871,158.0,55.199999237060545,117.43809986114502,1.5409519672393799,2.159461498260498,121.1385133266449,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,22,1200,57.039998855590824,198.0,54.949998970031736,117.45453095436096,1.489494800567627,2.146545648574829,121.09057140350342,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,23,1250,57.29999900817871,136.0,54.60999885559082,122.12838363647461,1.536485195159912,2.024834632873535,125.68970346450806,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,24,1300,56.01999877929688,174.0,54.919998741149904,121.59238886833191,1.5347750186920166,2.2146594524383545,125.34182333946228,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,25,1350,57.51999877929688,168.0,56.04999856948852,125.68328499794006,1.5402717590332031,2.0476126670837402,129.271169424057,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,26,1400,58.419998779296876,160.0,56.66999893188476,125.44550466537476,1.4802515506744385,2.128652572631836,129.05440878868103,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,27,1450,58.47999897003174,148.0,56.90999862670898,129.847731590271,1.5392277240753174,2.0875821113586426,133.47454142570496,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,28,1500,57.919998779296876,192.0,56.32999885559082,130.3923647403717,1.5303149223327637,2.1864140033721924,134.10909366607666,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,29,1550,59.59999885559082,170.0,57.639999046325684,133.83751368522644,1.516430139541626,2.037715435028076,137.39165925979614,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,30,1600,59.83999858856201,158.0,58.66999843597412,133.6421821117401,1.7533090114593506,2.0151233673095703,137.41061449050903,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,31,1650,60.39999893188477,158.0,59.699998683929444,138.4207525253296,1.4866924285888672,2.177262306213379,142.08470726013184,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,32,1700,59.89999877929687,196.0,58.58999879837036,137.59305620193481,1.531919240951538,2.049154281616211,141.17412972450256,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,33,1750,60.57999851226807,190.0,59.26999864578247,142.77840375900269,1.5017752647399902,2.0547900199890137,146.3349690437317,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,34,1800,60.65999794006348,198.0,59.6799987411499,142.00387835502625,1.5067708492279053,2.2505433559417725,145.76119256019592,False
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,35,1850,62.059998512268066,162.0,60.989998531341556,145.95879983901978,1.5527281761169434,2.2115206718444824,149.7230486869812,False
