dataset,model,method,seed,exp_name,run_status,episode,labeled_count,best_val_accuracy,best_val_epoch,test_accuracy,train_time_sec,test_time_sec,acquisition_time_sec,round_time_sec,is_initial_sampling
CIFAR10,resnet18,margin,1,margin_1_50b,complete,0,100,25.179999694824218,50,24.45999938964843,76.58848285675049,1.5438201427459717,6.639310836791992,84.77161383628845,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,1,150,29.719998855590816,54,29.52999977111817,76.32569289207458,1.50101637840271,6.836446762084961,84.66315603256226,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,2,200,32.89999938964844,142,32.6499993133545,76.56618142127991,1.4760143756866455,6.721765041351318,84.76396083831787,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,3,250,34.13999946594238,196,33.60999919891357,80.5788152217865,1.4576733112335205,6.705448865890503,88.74193739891052,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,4,300,36.89999870300293,198,36.499999084472655,79.4480311870575,1.556518316268921,6.675520181655884,87.6800696849823,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,5,350,37.139999618530275,188,36.47999897003174,84.23859882354736,1.4709293842315674,6.72593092918396,92.43545913696289,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,6,400,38.999998321533205,150,38.299998664855956,84.01136994361877,1.4870226383209229,6.624517917633057,92.12291049957275,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,7,450,40.519998474121095,144,39.649998321533204,87.73073887825012,1.5423707962036133,6.6687095165252686,95.941819190979,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,8,500,41.819998779296874,200,40.32999877929687,87.60921287536621,1.4973773956298828,6.61540961265564,95.72199988365173,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,9,550,44.23999862670898,198,43.86999904632568,92.10325264930725,1.490859031677246,6.629380702972412,100.22349238395691,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,10,600,44.27999839782715,196,43.5099987411499,91.55896472930908,1.496586561203003,6.577439785003662,99.63299107551575,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,11,650,45.49999893188477,156,44.09999900817871,96.05317711830139,1.461235761642456,6.5691704750061035,104.08358335494995,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,12,700,48.09999885559082,198,46.989998970031735,96.38836193084717,1.4972007274627686,6.518603801727295,104.40416646003723,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,13,750,46.879998931884764,174,45.25999866485596,100.88605618476868,1.5775504112243652,6.514850854873657,108.9784574508667,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,14,800,48.85999839782715,190,47.76999938964844,99.26521158218384,1.4696578979492188,6.618641376495361,107.35351085662842,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,15,850,48.25999908447265,176,47.00999885559082,103.30444693565369,1.4811904430389404,6.584156513214111,111.36979389190674,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,16,900,50.19999900817871,168,49.07999877929687,103.8991060256958,1.5032639503479004,6.609583139419556,112.01195311546326,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,17,950,50.599999237060544,148,49.599999313354495,107.66093873977661,1.5161006450653076,6.543508529663086,115.720547914505,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,18,1000,51.5999991607666,194,50.549999198913575,107.87718772888184,1.6423156261444092,6.570811986923218,116.09031534194946,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,19,1050,52.67999923706055,194,50.129998779296876,111.93709993362427,1.4954891204833984,6.659761428833008,120.09235048294067,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,20,1100,53.599999313354495,188,52.41999935150147,111.82878756523132,1.4753103256225586,6.580206871032715,119.8843047618866,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,21,1150,53.599998779296875,182,52.309998970031735,115.60203170776367,1.5266153812408447,6.588949918746948,123.71759700775146,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,22,1200,53.87999824523926,174,52.60999931335449,115.38718271255493,1.4907803535461426,6.486304998397827,123.3642680644989,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,23,1250,55.599999237060544,176,54.52999881744385,119.99372029304504,1.4583494663238525,6.510248422622681,127.96231818199158,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,24,1300,54.17999900817871,150,53.01999927520752,119.81368446350098,1.493950605392456,6.507416725158691,127.81505179405212,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,25,1350,56.219998893737795,168,55.58999885559082,122.87502098083496,1.5255820751190186,6.48155403137207,130.88215708732605,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,26,1400,56.43999839782715,198,55.579999084472654,123.54379868507385,1.5658507347106934,6.479486703872681,131.58913612365723,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,27,1450,56.19999870300293,180,54.47999881744385,128.6307384967804,1.5036766529083252,6.460152864456177,136.5945680141449,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,28,1500,57.63999885559082,186,57.00999881744385,127.92375588417053,1.605764389038086,6.535907030105591,136.0654273033142,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,29,1550,58.019998474121095,176,56.75999843597412,131.68099308013916,1.5522491931915283,6.496358394622803,139.7296006679535,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,30,1600,57.419998779296876,168,56.4699987411499,131.9332525730133,1.5654711723327637,6.463258266448975,139.96198201179504,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,31,1650,58.23999862670898,162,56.6899987411499,136.06722974777222,1.5141136646270752,6.435642242431641,144.01698565483093,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,32,1700,60.65999855041504,154,59.359998626708986,135.84159398078918,1.4838135242462158,6.444540977478027,143.76994848251343,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,33,1750,58.89999877929687,184,57.58999889373779,140.38726496696472,1.52225923538208,6.480562925338745,148.39008712768555,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,34,1800,60.45999855041504,170,58.85999891281128,140.24122524261475,1.480611801147461,6.397135972976685,148.1189730167389,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,35,1850,62.159998474121096,170,59.439998359680175,144.41744542121887,1.5108134746551514,6.440584182739258,152.36884307861328,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,36,1900,62.45999847412109,190,61.0999986076355,144.24114537239075,1.6440215110778809,6.448028564453125,152.33319544792175,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,37,1950,60.97999881744385,140,60.08999855041504,148.1083836555481,1.4955089092254639,6.416597366333008,156.02048993110657,False
CIFAR10,resnet18,margin,1,margin_1_50b,complete,38,2000,63.399998626708985,172,62.22999845504761,147.07555484771729,1.632932424545288,6.44606614112854,155.1545534133911,False
