dataset,model,method,seed,exp_name,run_status,episode,labeled_count,best_val_accuracy,best_val_epoch,test_accuracy,train_time_sec,test_time_sec,acquisition_time_sec,round_time_sec,is_initial_sampling
CIFAR10,resnet18,probcover,1,probcover_1_50b,complete,-1,50,,,,,,9.416994333267212,9.416994333267212,True
CIFAR10,resnet18,probcover,1,probcover_1_50b,complete,0,100,27.239999313354488,94.0,27.70999992370605,70.95708870887756,1.4571173191070557,0.5456075668334961,72.95981359481812,False
CIFAR10,resnet18,probcover,1,probcover_1_50b,complete,1,150,34.29999954223632,182.0,33.519999008178715,71.4991545677185,1.4296672344207764,0.541149377822876,73.46997117996216,False
CIFAR10,resnet18,probcover,1,probcover_1_50b,complete,2,200,37.09999893188476,166.0,36.96999900817871,72.44256043434143,1.4310619831085205,0.5405220985412598,74.41414451599121,False
CIFAR10,resnet18,probcover,1,probcover_1_50b,complete,3,250,39.41999885559082,110.0,38.05999885559082,75.0794427394867,1.4257123470306396,1.1732487678527832,77.67840385437012,False
CIFAR10,resnet18,probcover,1,probcover_1_50b,complete,4,300,41.97999900817871,176.0,41.55999862670898,75.27263164520264,1.444770336151123,0.7468397617340088,77.46424174308777,False
CIFAR10,resnet18,probcover,1,probcover_1_50b,complete,5,350,43.259999160766604,178.0,42.67999870300293,78.56876921653748,1.4390125274658203,0.5546274185180664,80.56240916252136,False
CIFAR10,resnet18,probcover,1,probcover_1_50b,complete,6,400,44.579999084472654,186.0,43.379998741149905,78.64430165290833,1.438544511795044,1.1562604904174805,81.23910665512085,False
CIFAR10,resnet18,probcover,1,probcover_1_50b,complete,7,450,45.399999389648436,198.0,44.099999046325685,82.03081941604614,1.4388134479522705,1.6364059448242188,85.10603880882263,False
CIFAR10,resnet18,probcover,1,probcover_1_50b,complete,8,500,46.87999908447266,172.0,45.759998931884766,82.11837196350098,1.4013657569885254,0.8115401268005371,84.33127784729004,False
CIFAR10,resnet18,probcover,1,probcover_1_50b,complete,9,550,48.17999870300293,166.0,47.199998970031736,85.59592819213867,1.4026274681091309,0.555431604385376,87.55398726463318,False
CIFAR10,resnet18,probcover,1,probcover_1_50b,complete,10,600,48.97999885559082,114.0,47.29999950408936,85.87084007263184,1.4095168113708496,0.5389964580535889,87.81935334205627,False
CIFAR10,resnet18,probcover,1,probcover_1_50b,complete,11,650,49.31999893188477,200.0,48.13999938964844,89.0339994430542,1.445587396621704,0.5318887233734131,91.01147556304932,False
CIFAR10,resnet18,probcover,1,probcover_1_50b,complete,12,700,50.19999885559082,130.0,49.12999965667725,90.29504299163818,1.4129900932312012,0.5432178974151611,92.25125098228455,False
