dataset,model,method,seed,exp_name,run_status,episode,labeled_count,best_val_accuracy,best_val_epoch,test_accuracy,train_time_sec,test_time_sec,acquisition_time_sec,round_time_sec,is_initial_sampling
CIFAR10,resnet18,uncertainty,1,uncertainty_1_50b,complete,0,100,24.540000000000006,186,23.429999771118162,75.47211694717407,1.627166748046875,6.615059852600098,83.71434354782104,False
CIFAR10,resnet18,uncertainty,1,uncertainty_1_50b,complete,1,150,27.599999237060544,170,27.469999618530267,75.01996111869812,1.6167488098144531,6.601809024810791,83.23851895332336,False
CIFAR10,resnet18,uncertainty,1,uncertainty_1_50b,complete,2,200,30.979999160766596,146,29.989999237060545,75.52142310142517,1.4522006511688232,6.874548435211182,83.84817218780518,False
CIFAR10,resnet18,uncertainty,1,uncertainty_1_50b,complete,3,250,34.01999908447266,158,33.67999893188477,78.7930760383606,1.5422704219818115,6.952662467956543,87.28800892829895,False
CIFAR10,resnet18,uncertainty,1,uncertainty_1_50b,complete,4,300,34.91999923706055,100,35.409999122619624,79.44133472442627,1.5237059593200684,6.496411561965942,87.46145224571228,False
CIFAR10,resnet18,uncertainty,1,uncertainty_1_50b,complete,5,350,36.89999839782715,180,36.85999893188477,83.5738685131073,1.4952092170715332,6.526005983352661,91.5950837135315,False
CIFAR10,resnet18,uncertainty,1,uncertainty_1_50b,complete,6,400,38.31999900817871,168,38.069998817443846,83.50354361534119,1.5238325595855713,6.622964143753052,91.65034031867981,False
CIFAR10,resnet18,uncertainty,1,uncertainty_1_50b,complete,7,450,38.3799991607666,172,38.68999881744385,87.3458161354065,1.5020387172698975,6.650567531585693,95.49842238426208,False
CIFAR10,resnet18,uncertainty,1,uncertainty_1_50b,complete,8,500,39.09999893188476,98,39.54999881744385,87.89328169822693,1.5028836727142334,6.582074403762817,95.97823977470398,False
CIFAR10,resnet18,uncertainty,1,uncertainty_1_50b,complete,9,550,41.89999893188477,126,42.1699991607666,91.02977919578552,1.5609047412872314,6.512307643890381,99.10299158096313,False
CIFAR10,resnet18,uncertainty,1,uncertainty_1_50b,complete,10,600,41.99999816894531,150,41.509999198913576,91.59728503227234,1.4546623229980469,6.554468154907227,99.60641551017761,False
CIFAR10,resnet18,uncertainty,1,uncertainty_1_50b,complete,11,650,43.559999008178714,132,43.88999843597412,95.1237051486969,1.5204942226409912,6.787628889083862,103.43182826042175,False
CIFAR10,resnet18,uncertainty,1,uncertainty_1_50b,complete,12,700,43.3199991607666,152,43.289998588562014,95.81349778175354,1.5005269050598145,6.596150875091553,103.91017556190491,False
CIFAR10,resnet18,uncertainty,1,uncertainty_1_50b,complete,13,750,45.65999885559082,186,44.799998664855956,99.33613538742065,1.4406647682189941,6.8662943840026855,107.64309453964233,False
CIFAR10,resnet18,uncertainty,1,uncertainty_1_50b,complete,14,800,47.63999923706055,160,46.879999237060545,99.76180219650269,1.47178053855896,6.4875969886779785,107.72117972373962,False
CIFAR10,resnet18,uncertainty,1,uncertainty_1_50b,complete,15,850,46.51999908447266,190,46.0099987411499,103.41499161720276,1.4934945106506348,6.602243661880493,111.51072978973389,False
CIFAR10,resnet18,uncertainty,1,uncertainty_1_50b,complete,16,900,49.03999931335449,168,48.64999870300293,103.00543069839478,1.4706556797027588,6.4365057945251465,110.91259217262268,False
CIFAR10,resnet18,uncertainty,1,uncertainty_1_50b,complete,17,950,48.09999893188476,174,47.61999881744385,107.4358880519867,1.4894139766693115,6.556161880493164,115.48146390914917,False
CIFAR10,resnet18,uncertainty,1,uncertainty_1_50b,complete,18,1000,48.67999969482422,152,48.739999046325686,107.07085132598877,1.4908616542816162,6.639704465866089,115.20141744613647,False
