dataset,model,method,n_seeds,final_test_accuracy_mean,final_test_accuracy_std,final_val_accuracy_mean,final_val_accuracy_std
TINYIMAGENET,resnet18,idprobcover,5,17.923999984741208,0.3121377964413894,18.928,0.48220327663755963
TINYIMAGENET,resnet18,probcover,5,13.866,0.2755539874507316,14.815999999999999,0.318559256654082
TINYIMAGENET,resnet18,density_cover,5,11.916,0.3398234835911111,12.615999999999996,0.38843274836192776
TINYIMAGENET,resnet18,distance_variance_cover,5,11.876000000000001,0.2024351748091205,12.816000000000003,0.18889150324987802
TINYIMAGENET,resnet18,knn_distance_cover,5,11.752,0.29209587467131143,12.931999999999999,0.24883729623993112
TINYIMAGENET,resnet18,maxherding,5,10.418000000000001,0.7312797002515489,10.919999999999998,0.38052595180880594
TINYIMAGENET,resnet18,coreset,5,10.376000000000001,0.3925939378034284,11.428,0.41895107112883967
TINYIMAGENET,resnet18,random,5,10.114,0.45654134533467783,11.324000000000002,0.3185592566540789
TINYIMAGENET,resnet18,margin,5,9.227999999999998,0.33677885919398426,10.223999999999998,0.31698580409854443
TINYIMAGENET,resnet18,distance_cv_cover,5,8.76,0.3320391543176814,9.551999999999998,0.31893573020281424
TINYIMAGENET,resnet18,dbal,5,7.944,0.34457219853029747,8.731999999999996,0.3300303016391073
TINYIMAGENET,resnet18,entropy,5,7.856,0.32822248551859057,8.652000000000001,0.25321927256826554
TINYIMAGENET,resnet18,uncertainty,5,7.744000000000002,0.27373344698812374,8.648,0.3477355316903943
