dataset,model,method,seed,exp_name,run_status,episode,labeled_count,best_val_accuracy,best_val_epoch,test_accuracy,train_time_sec,test_time_sec,acquisition_time_sec,round_time_sec,is_initial_sampling
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,0,100,2.3599999999999994,78,1.769999999999996,159.97258853912354,3.493579864501953,86.80483961105347,250.27100801467896,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,1,150,2.4599999999999937,84,2.1700000000000017,163.93509125709534,3.7611680030822754,88.03408670425415,255.73034596443176,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,2,200,2.5600000000000023,188,2.1599999999999966,162.81278038024902,3.597740411758423,87.76652693748474,254.1770477294922,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,3,250,2.8599999999999994,118,2.450000000000003,170.93053913116455,3.5356931686401367,87.58944869041443,262.0556809902191,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,4,300,3.0799999999999983,154,2.280000000000001,170.9527714252472,3.545213460922241,87.58030271530151,262.07828760147095,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,5,350,3.0799999999999983,48,2.450000000000003,179.12835454940796,3.6077239513397217,87.71156024932861,270.4476387500763,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,6,400,3.219999999999999,34,2.700000000000003,179.32579731941223,3.6498799324035645,87.80476570129395,270.78044295310974,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,7,450,3.5,108,2.9599999999999937,186.89821672439575,3.5407137870788574,87.67735528945923,278.11628580093384,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,8,500,3.480000000000004,50,3.019999999999996,188.13268089294434,3.5583879947662354,87.33986401557922,279.0309329032898,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,9,550,3.8400000000000034,184,3.1899999999999977,195.593980550766,3.504791736602783,92.38376045227051,291.4825327396393,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,10,600,3.6200000000000045,132,3.239999999999995,198.6336908340454,3.7387096881866455,87.66833353042603,290.0407340526581,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,11,650,3.819999999999993,148,2.989999999999995,202.9311239719391,3.5353221893310547,87.66085171699524,294.1272978782654,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,12,700,4.040000000000006,40,3.069999999999993,203.92394948005676,3.6278021335601807,87.8011167049408,295.35286831855774,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,13,750,3.8599999999999994,138,3.6899999999999977,210.82629323005676,3.6359364986419678,87.3994653224945,301.86169505119324,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,14,800,3.5799999999999983,16,2.9599999999999937,210.16670656204224,3.597827196121216,87.6262903213501,301.39082407951355,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,15,850,4.060000000000002,80,3.0999999999999943,217.8185317516327,3.650055408477783,88.78157901763916,310.25016617774963,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,16,900,3.760000000000005,130,3.739999999999995,217.83895301818848,3.607329845428467,87.52617716789246,308.9724600315094,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,17,950,4.060000000000002,88,3.4599999999999937,224.54685401916504,3.6133227348327637,87.27111387252808,315.4312906265259,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,18,1000,4.180000000000007,56,3.1299999999999955,226.16069984436035,3.581988573074341,87.4085533618927,317.1512417793274,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,19,1050,4.140000000000001,68,3.739999999999995,231.60787677764893,3.615327835083008,87.40464758872986,322.6278522014618,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,20,1100,4.3799999999999955,108,3.680000000000007,232.2438063621521,3.5683536529541016,88.17731952667236,323.98947954177856,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,21,1150,4.159999999999997,178,4.079999999999998,247.7428913116455,6.358094692230225,87.55384039878845,341.6548264026642,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,22,1200,4.519999999999996,14,4.290000000000006,239.00949907302856,3.574336290359497,87.12774658203125,329.7115819454193,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,23,1250,4.659999999999997,172,4.170000000000002,245.01386904716492,3.6170132160186768,87.11672067642212,335.7476029396057,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,24,1300,4.799999999999997,112,4.140000000000001,245.84436511993408,3.5536961555480957,86.85201954841614,336.2500808238983,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,25,1350,5.079999999999998,136,4.599999999999994,253.05297422409058,3.576303720474243,87.43061995506287,344.0598978996277,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,26,1400,5.3799999999999955,128,4.340000000000003,253.1341335773468,3.6142404079437256,86.58869051933289,343.3370645046234,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,27,1450,5.040000000000006,166,4.269999999999996,260.1528136730194,3.6421303749084473,86.57927751541138,350.37422156333923,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,28,1500,5.019999999999996,20,4.019999999999996,260.6331088542938,3.5866401195526123,86.75325131416321,350.97300028800964,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,29,1550,4.900000000000006,156,4.709999999999994,268.5326211452484,3.5929982662200928,87.18009567260742,359.3057150840759,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,30,1600,5.400000000000006,30,4.939999999999998,267.8542935848236,3.6873323917388916,87.3835129737854,358.9251389503479,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,31,1650,5.219999999999999,56,4.659999999999997,282.4865303039551,6.520864248275757,86.57239961624146,375.5797941684723,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,32,1700,5.200000000000003,190,4.769999999999996,276.06247305870056,3.5043222904205322,86.50062561035156,366.06742095947266,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,33,1750,5.359999999999999,196,4.260000000000005,281.9384343624115,3.7154901027679443,87.16366386413574,372.8175883293152,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,34,1800,5.480000000000004,68,4.739999999999995,282.37752318382263,3.5580291748046875,86.90940284729004,372.84495520591736,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,35,1850,5.459999999999994,28,4.810000000000002,290.7136549949646,3.5547521114349365,86.47634673118591,380.74475383758545,False
TINYIMAGENET,resnet18,dbal,1,dbal_1_50b,complete,36,1900,5.799999999999997,60,4.709999999999994,288.94773983955383,3.5345613956451416,86.43537521362305,378.917676448822,False
