dataset,model,method,seed,exp_name,run_status,episode,labeled_count,best_val_accuracy,best_val_epoch,test_accuracy,train_time_sec,test_time_sec,acquisition_time_sec,round_time_sec,is_initial_sampling
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,-1,50,,,,,,6.560315132141113,6.560315132141113,True
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,0,100,2.200000000000003,116.0,2.269999999999996,156.86132335662842,3.001669406890869,6.492964029312134,166.35595679283142,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,1,150,2.819999999999993,176.0,2.799999999999997,156.93309593200684,2.970276355743408,6.79110860824585,166.6944808959961,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,2,200,2.9599999999999937,92.0,3.1899999999999977,157.79602122306824,2.903669834136963,2.7713773250579834,163.47106838226318,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,3,250,3.4599999999999937,158.0,3.3900000000000006,166.4805805683136,3.009272813796997,2.81170916557312,172.30156254768372,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,4,300,3.8599999999999994,184.0,3.5400000000000063,172.67987251281738,3.7973883152008057,2.8197691440582275,179.29702997207642,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,5,350,4.780000000000001,176.0,4.049999999999997,177.70840716362,3.0268309116363525,2.8492326736450195,183.58447074890137,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,6,400,5.1200000000000045,164.0,4.579999999999998,173.59820747375488,2.852966547012329,2.7919018268585205,179.24307584762573,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,7,450,5.719999999999999,132.0,5.420000000000002,183.41404819488525,3.015474796295166,2.8391201496124268,189.26864314079285,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,8,500,5.980000000000004,28.0,5.340000000000003,183.02414727210999,2.908299207687378,2.8352246284484863,188.76767110824585,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,9,550,6.519999999999996,200.0,6.260000000000005,189.9133598804474,2.848580837249756,2.9914236068725586,195.7533643245697,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,10,600,6.760000000000005,84.0,6.209999999999994,190.79932284355164,2.9431254863739014,2.837372303009033,196.57982063293457,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,11,650,6.959999999999994,34.0,6.310000000000002,198.9796643257141,2.8669800758361816,2.830371141433716,204.677015542984,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,12,700,7.299999999999997,188.0,6.430000000000007,199.2247772216797,2.946660280227661,2.8418939113616943,205.01333141326904,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,13,750,7.260000000000005,118.0,7.030000000000001,207.0055160522461,2.953775405883789,2.8422999382019043,212.8015913963318,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,14,800,7.780000000000001,74.0,6.810000000000002,206.40546560287476,2.8801050186157227,2.824178695678711,212.1097493171692,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,15,850,7.739999999999995,106.0,6.8799999999999955,213.30962014198303,2.977198839187622,2.8260791301727295,219.11289811134338,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,16,900,7.819999999999993,134.0,7.989999999999995,214.3932023048401,3.7236857414245605,3.0148489475250244,221.13173699378967,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,17,950,8.519999999999996,192.0,7.6200000000000045,220.95963430404663,2.861746072769165,2.8566770553588867,226.67805743217468,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,18,1000,8.620000000000005,92.0,7.609999999999999,223.01911330223083,3.795867919921875,3.060004472732544,229.87498569488525,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,19,1050,8.700000000000003,78.0,8.030000000000001,228.32031846046448,2.9184510707855225,2.883540391921997,234.122309923172,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,20,1100,8.980000000000004,30.0,7.909999999999997,229.8661594390869,3.6869497299194336,2.932051420211792,236.48516058921814,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,21,1150,9.459999999999994,152.0,8.39,241.78679180145264,3.6451847553253174,2.8054463863372803,248.23742294311523,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,22,1200,9.579999999999998,134.0,8.260000000000005,238.51281309127808,3.9231226444244385,2.9621810913085938,245.3981168270111,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,23,1250,9.5,92.0,8.689999999999998,243.20491480827332,2.850025177001953,2.82367205619812,248.8786120414734,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,24,1300,9.760000000000005,48.0,9.459999999999994,242.6334364414215,3.789707660675049,2.971043348312378,249.39418745040894,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,25,1350,10.019999999999996,36.0,8.709999999999994,250.52966809272766,3.0077998638153076,2.815185785293579,256.35265374183655,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,26,1400,10.14,178.0,9.030000000000001,250.69100737571716,3.834062099456787,2.9597043991088867,257.48477387428284,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,27,1450,10.579999999999998,198.0,10.219999999999999,257.669513463974,2.9099619388580322,2.804766893386841,263.3842422962189,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,28,1500,10.599999999999994,42.0,9.769999999999996,257.578736782074,2.9439969062805176,2.8411238193511963,263.3638575077057,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,29,1550,10.840000000000003,28.0,10.25,264.0605483055115,2.903921365737915,2.7912662029266357,269.755735874176,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,30,1600,11.019999999999996,118.0,9.89,265.1723599433899,2.8947863578796387,2.8111371994018555,270.8782835006714,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,31,1650,11.200000000000003,110.0,10.25,270.92500591278076,2.8593573570251465,2.799065351486206,276.5834286212921,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,32,1700,11.400000000000006,108.0,10.329999999999998,273.37499237060547,2.9390029907226562,2.834641218185425,279.14863657951355,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,33,1750,11.340000000000003,84.0,10.989999999999995,280.23397278785706,3.9091134071350098,2.9307825565338135,287.0738687515259,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,34,1800,11.64,98.0,10.290000000000006,280.7504692077637,3.0970637798309326,2.9678738117218018,286.8154067993164,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,35,1850,12.079999999999998,50.0,11.340000000000003,297.5404031276703,3.0714621543884277,2.8474457263946533,303.45931100845337,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,36,1900,12.319999999999993,164.0,11.269999999999996,286.8030469417572,2.9574320316314697,5.736779451370239,295.4972584247589,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,37,1950,11.959999999999994,80.0,10.909999999999997,294.4481291770935,3.760324239730835,5.456993341445923,303.66544675827026,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,38,2000,12.64,64.0,10.969999999999999,296.41805768013,3.6572256088256836,2.9177305698394775,302.99301385879517,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,39,2050,12.400000000000006,40.0,11.760000000000005,315.2205271720886,3.0982701778411865,3.0597264766693115,321.3785238265991,False
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,40,2100,12.920000000000002,124.0,11.650000000000006,315.89651441574097,2.976344108581543,2.9529473781585693,321.8258059024811,False
