dataset,model,method,seed,exp_name,run_status,episode,labeled_count,best_val_accuracy,best_val_epoch,test_accuracy,train_time_sec,test_time_sec,acquisition_time_sec,round_time_sec,is_initial_sampling
TINYIMAGENET,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,-1,50,,,,,,4.004964590072632,4.004964590072632,True
TINYIMAGENET,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,0,100,2.299999999999997,54.0,2.1599999999999966,162.65133810043335,3.052541971206665,2.7468836307525635,168.45076370239258,False
TINYIMAGENET,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,1,150,2.799999999999997,88.0,2.5799999999999983,165.46693420410156,2.980194330215454,2.726598024368286,171.1737265586853,False
TINYIMAGENET,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,2,200,2.8599999999999994,152.0,2.430000000000007,166.4773416519165,2.972796678543091,2.695155143737793,172.1452934741974,False
TINYIMAGENET,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,3,250,3.0600000000000023,172.0,2.760000000000005,174.50822710990906,3.0116424560546875,2.7620725631713867,180.28194212913513,False
TINYIMAGENET,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,4,300,3.1200000000000045,170.0,2.9000000000000057,174.61758708953857,3.912627935409546,2.8975746631622314,181.42778968811035,False
TINYIMAGENET,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,5,350,3.4399999999999977,152.0,3.010000000000005,183.93551969528198,3.9703638553619385,2.968118667602539,190.87400221824646,False
TINYIMAGENET,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,6,400,3.5999999999999943,86.0,3.0,182.62018942832947,3.0181431770324707,2.7847256660461426,188.42305827140808,False
TINYIMAGENET,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,7,450,3.799999999999997,8.0,3.4099999999999966,191.9882209300995,3.1493332386016846,2.725093364715576,197.86264753341675,False
TINYIMAGENET,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,8,500,4.040000000000006,52.0,3.230000000000004,192.4277536869049,3.201298236846924,2.933316946029663,198.5623688697815,False
