dataset,model,method,seed,exp_name,run_status,episode,labeled_count,best_val_accuracy,best_val_epoch,test_accuracy,train_time_sec,test_time_sec,acquisition_time_sec,round_time_sec,is_initial_sampling
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,-1,50,,,,,,9.255316972732544,9.255316972732544,True
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,0,100,2.9000000000000057,64.0,2.6899999999999977,160.40594673156738,2.9321377277374268,4.215409755706787,167.5534942150116,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,1,150,3.780000000000001,144.0,3.6599999999999966,159.72975516319275,2.8838553428649902,4.2945356369018555,166.9081461429596,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,2,200,4.540000000000006,68.0,4.209999999999994,159.85164427757263,2.9584529399871826,8.634093046188354,171.44419026374817,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,3,250,5.5,70.0,4.8700000000000045,168.02871179580688,3.647024631500244,4.249519109725952,175.92525553703308,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,4,300,5.420000000000002,90.0,5.310000000000002,168.11214590072632,3.716445207595825,9.566959619522095,181.39555072784424,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,5,350,6.420000000000002,168.0,5.760000000000005,175.75098633766174,3.737013101577759,4.29532265663147,183.78332209587097,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,6,400,6.599999999999994,90.0,6.519999999999996,175.6763870716095,3.715832471847534,4.29249382019043,183.68471336364746,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,7,450,7.260000000000005,198.0,6.569999999999993,183.8759560585022,3.598534107208252,4.286769390106201,191.76125955581665,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,8,500,7.480000000000004,66.0,7.439999999999998,186.3790192604065,3.7468602657318115,4.442976951599121,194.56885647773743,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,9,550,8.180000000000007,14.0,7.469999999999999,195.8988082408905,2.920997142791748,4.210620880126953,203.0304262638092,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,10,600,8.459999999999994,182.0,7.510000000000005,196.477477312088,2.975165367126465,4.368000268936157,203.82064294815063,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,11,650,9.159999999999997,200.0,9.040000000000006,204.1073338985443,2.9756569862365723,4.33843469619751,211.4214255809784,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,12,700,9.280000000000001,124.0,8.599999999999994,204.64639258384705,3.029512405395508,4.324152946472168,212.00005793571472,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,13,750,9.659999999999997,132.0,8.810000000000002,211.64077925682068,3.65535306930542,4.374256610870361,219.67038893699646,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,14,800,9.739999999999995,26.0,9.459999999999994,222.29877591133118,3.221588373184204,9.113659858703613,234.634024143219,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,15,850,10.319999999999993,124.0,9.969999999999999,221.83149671554565,3.117626667022705,4.774372339248657,229.72349572181702,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,16,900,10.540000000000006,24.0,10.450000000000003,220.66856408119202,3.035224437713623,6.7145302295684814,230.41831874847412,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,17,950,11.019999999999996,176.0,10.379999999999995,228.38270783424377,2.9976894855499268,8.382335424423218,239.76273274421692,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,18,1000,10.819999999999993,68.0,9.939999999999998,227.60651636123657,3.7347917556762695,7.881833791732788,239.22314190864563,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,19,1050,11.280000000000001,54.0,10.280000000000001,235.65091824531555,3.6896278858184814,8.194262027740479,247.5348081588745,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,20,1100,11.120000000000005,14.0,10.5,236.09210658073425,3.004303216934204,4.384129762649536,243.480539560318,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,21,1150,11.319999999999993,40.0,10.930000000000007,243.56578922271729,2.960611343383789,4.384968519210815,250.9113690853119,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,22,1200,11.739999999999995,170.0,10.030000000000001,243.01724433898926,3.001213788986206,4.448351144790649,250.4668092727661,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,23,1250,11.340000000000003,118.0,10.840000000000003,250.638667345047,2.9549999237060547,4.4156575202941895,258.00932478904724,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,24,1300,11.760000000000005,120.0,10.659999999999997,250.20967268943787,3.007192373275757,4.329294681549072,257.5461597442627,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,25,1350,11.680000000000007,84.0,11.510000000000005,258.14643907546997,2.9803946018218994,4.476197004318237,265.6030306816101,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,26,1400,11.700000000000003,106.0,10.920000000000002,258.5691511631012,3.0520389080047607,4.391926050186157,266.0131161212921,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,27,1450,12.459999999999994,82.0,11.909999999999997,267.11549520492554,2.9658243656158447,4.654865741729736,274.7361853122711,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,28,1500,12.280000000000001,36.0,11.480000000000004,274.0270047187805,3.8951680660247803,4.4704976081848145,282.3926703929901,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,29,1550,12.420000000000002,122.0,12.069999999999993,273.35452127456665,3.0119171142578125,4.402374029159546,280.768812417984,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,30,1600,12.680000000000007,106.0,11.769999999999996,271.10513734817505,2.9160773754119873,4.365197420120239,278.3864121437073,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,31,1650,12.879999999999995,192.0,12.430000000000007,279.40656542778015,2.955217123031616,4.350702285766602,286.71248483657837,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,32,1700,12.920000000000002,120.0,13.010000000000005,279.11888909339905,2.9767203330993652,4.375686883926392,286.4712963104248,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,33,1750,13.239999999999995,126.0,12.219999999999999,286.3806471824646,2.931684732437134,4.2378106117248535,293.5501425266266,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,34,1800,13.439999999999998,52.0,12.799999999999997,287.94279623031616,2.9978158473968506,4.208089828491211,295.1487019062042,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,35,1850,13.560000000000002,52.0,13.269999999999996,294.75149869918823,3.6812379360198975,4.3663458824157715,302.7990825176239,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,36,1900,13.439999999999998,84.0,13.150000000000006,294.68214654922485,3.7821757793426514,4.4917261600494385,302.95604848861694,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,37,1950,13.86,22.0,13.730000000000004,302.2874183654785,3.7698023319244385,4.396860837936401,310.45408153533936,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,38,2000,13.920000000000002,126.0,12.930000000000007,300.7189586162567,3.7901721000671387,4.971456527709961,309.4805872440338,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,39,2050,13.799999999999997,176.0,13.680000000000007,309.7283549308777,3.942444324493408,4.824409246444702,318.4952085018158,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,40,2100,14.040000000000006,44.0,13.069999999999993,318.5620799064636,2.9794816970825195,9.550368785858154,331.0919303894043,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,41,2150,14.0,110.0,13.420000000000002,316.45751786231995,3.1476056575775146,7.352901220321655,326.9580247402191,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,42,2200,13.939999999999998,78.0,13.560000000000002,317.1575736999512,2.9370760917663574,6.60014271736145,326.694792509079,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,43,2250,14.540000000000006,108.0,13.900000000000006,323.3960280418396,2.9748475551605225,7.878725290298462,334.2496008872986,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,44,2300,14.5,86.0,13.379999999999995,322.77514481544495,2.9439198970794678,7.487016677856445,333.20608139038086,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,45,2350,14.760000000000005,170.0,13.939999999999998,331.0778179168701,2.946794033050537,8.191570520401001,342.21618247032166,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,46,2400,14.480000000000004,178.0,14.530000000000001,331.2261881828308,3.1013400554656982,6.984880685806274,341.3124089241028,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,47,2450,14.879999999999995,178.0,13.969999999999999,339.26414799690247,2.96343994140625,7.835230827331543,350.06281876564026,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,48,2500,14.780000000000001,108.0,13.700000000000003,340.0160629749298,2.8951754570007324,9.073846817016602,351.98508524894714,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,49,2550,14.739999999999995,38.0,14.469999999999999,345.5070147514343,2.9099044799804688,4.3658223152160645,352.78274154663086,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,50,2600,15.079999999999998,86.0,14.129999999999995,349.88383412361145,8.077852249145508,10.645591259002686,368.60727763175964,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,51,2650,15.079999999999998,88.0,14.489999999999995,355.83987379074097,3.836472511291504,8.848660230636597,368.52500653266907,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,52,2700,15.180000000000007,148.0,13.950000000000003,351.8178200721741,3.7403743267059326,9.594833374023438,365.15302777290344,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,53,2750,15.120000000000005,168.0,14.349999999999994,358.7153208255768,2.9141273498535156,8.800052165985107,370.4295003414154,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,54,2800,15.180000000000007,148.0,14.599999999999994,359.39083886146545,2.9399611949920654,7.833592653274536,370.16439270973206,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,55,2850,15.620000000000005,164.0,14.769999999999996,365.49285864830017,2.9453155994415283,4.210232973098755,372.64840722084045,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,56,2900,15.620000000000005,198.0,15.200000000000003,363.2971923351288,3.7430124282836914,8.984142303466797,376.0243470668793,False
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,57,2950,15.799999999999997,166.0,15.180000000000007,372.5015711784363,3.8536946773529053,8.925915479660034,385.2811813354492,False
