dataset,model,method,seed,exp_name,run_status,episode,labeled_count,best_val_accuracy,best_val_epoch,test_accuracy,train_time_sec,test_time_sec,acquisition_time_sec,round_time_sec,is_initial_sampling
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,0,100,2.299999999999997,174,1.7099999999999937,158.64369106292725,3.706982374191284,31.79429602622986,194.1449694633484,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,1,150,2.180000000000007,96,1.9300000000000068,162.99838972091675,3.0217947959899902,31.973764657974243,197.99394917488098,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,2,200,2.4200000000000017,184,1.7099999999999937,162.02569937705994,3.1260874271392822,32.055312395095825,197.20709919929504,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,3,250,2.719999999999999,152,2.1200000000000045,170.76399755477905,3.136495590209961,32.18242907524109,206.0829222202301,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,4,300,2.9399999999999977,106,2.4099999999999966,171.46057271957397,3.0344507694244385,31.46724843978882,205.96227192878723,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,5,350,3.219999999999999,28,2.5999999999999943,177.90460109710693,3.0137288570404053,31.73480772972107,212.6531376838684,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,6,400,3.5799999999999983,124,2.7099999999999937,179.99193048477173,3.1137123107910156,32.1031756401062,215.20881843566895,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,7,450,3.819999999999993,58,3.25,185.06117391586304,3.006392240524292,31.824095487594604,219.89166164398193,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,8,500,4.5,108,3.239999999999995,193.50460410118103,3.8332693576812744,51.542908906936646,248.88078236579895,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,9,550,4.239999999999995,118,3.8499999999999943,196.2680380344391,3.189664363861084,31.714460611343384,231.17216300964355,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,10,600,4.140000000000001,132,3.730000000000004,194.33194017410278,3.0714457035064697,30.869115352630615,228.27250123023987,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,11,650,4.340000000000003,18,3.519999999999996,199.26482725143433,3.005722999572754,31.63920497894287,233.90975522994995,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,12,700,4.560000000000002,66,3.780000000000001,199.29707098007202,3.066795587539673,31.03577446937561,233.3996410369873,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,13,750,4.420000000000002,136,3.7900000000000063,195.7870650291443,2.8093526363372803,28.677951097488403,227.27436876296997,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,14,800,4.659999999999997,38,4.239999999999995,196.55067586898804,3.552783727645874,29.629826545715332,229.73328614234924,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,15,850,4.420000000000002,120,4.219999999999999,202.31772923469543,3.5370101928710938,29.909956455230713,235.76469588279724,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,16,900,4.560000000000002,166,4.019999999999996,206.40137553215027,3.5619406700134277,30.062602281570435,240.02591848373413,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,17,950,4.719999999999999,90,4.299999999999997,214.1954426765442,2.903440475463867,30.948965072631836,248.0478482246399,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,18,1000,4.859999999999999,136,4.180000000000007,216.01293683052063,2.9197139739990234,30.725632667541504,249.65828347206116,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,19,1050,4.859999999999999,110,4.189999999999998,221.00414323806763,2.969374418258667,29.709389686584473,253.68290734291077,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,20,1100,5.019999999999996,146,4.719999999999999,221.41147637367249,3.6165125370025635,30.104065656661987,255.13205456733704,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,21,1150,5.099999999999994,16,4.799999999999997,226.52468466758728,3.8584277629852295,30.935067892074585,261.3181803226471,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,22,1200,5.299999999999997,22,4.609999999999999,229.55153512954712,3.0589025020599365,30.85597538948059,263.46641302108765,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,23,1250,5.260000000000005,156,4.689999999999998,242.90283918380737,3.471572160720825,31.247836351394653,277.62224769592285,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,24,1300,5.480000000000004,42,4.799999999999997,235.57781863212585,2.973322629928589,30.367363452911377,268.9185047149658,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,25,1350,5.560000000000002,164,4.780000000000001,242.7391595840454,2.974477529525757,30.349478244781494,276.06311535835266,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,26,1400,5.579999999999998,98,5.299999999999997,243.63742184638977,2.9298813343048096,30.872665643692017,277.4399688243866,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,27,1450,5.939999999999998,152,4.489999999999995,250.3920283317566,2.9064137935638428,30.209874868392944,283.5083169937134,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,28,1500,5.760000000000005,162,4.989999999999995,248.99292421340942,3.5896434783935547,30.4782931804657,283.0608608722687,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,29,1550,5.780000000000001,20,4.680000000000007,258.9206454753876,2.9900081157684326,30.30778193473816,292.21843552589417,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,30,1600,5.8799999999999955,136,5.3799999999999955,259.7133734226227,3.5973825454711914,30.49480152130127,293.80555748939514,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,31,1650,5.719999999999999,160,4.980000000000004,266.0274090766907,2.9836432933807373,30.96169424057007,299.9727466106415,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,32,1700,5.840000000000003,144,5.459999999999994,264.7650058269501,2.967648506164551,30.505176305770874,298.2378306388855,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,33,1750,6.019999999999996,198,5.359999999999999,274.77361369132996,3.1050028800964355,31.222323179244995,309.1009397506714,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,34,1800,6.079999999999998,152,5.780000000000001,271.2345361709595,2.970060348510742,29.68247652053833,303.88707304000854,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,35,1850,6.299999999999997,50,5.810000000000002,288.30783581733704,3.041402816772461,30.661396980285645,322.01063561439514,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,36,1900,6.3799999999999955,4,6.030000000000001,277.31046772003174,3.603684902191162,30.325510263442993,311.2396628856659,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,37,1950,6.540000000000006,196,5.670000000000002,283.4234662055969,3.6189801692962646,30.04163670539856,317.08408308029175,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,38,2000,6.5,64,5.730000000000004,285.12470054626465,3.7909700870513916,30.835956573486328,319.75162720680237,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,39,2050,6.5,26,5.739999999999995,292.68952441215515,3.0224452018737793,30.25834584236145,325.9703154563904,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,40,2100,6.859999999999999,160,5.569999999999993,291.67282915115356,3.1489949226379395,30.87920308113098,325.7010271549225,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,41,2150,6.739999999999995,68,6.269999999999996,301.90385580062866,3.5230789184570312,30.43191123008728,335.858845949173,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,42,2200,6.680000000000007,122,5.950000000000003,297.9591829776764,3.6721324920654297,30.770702600479126,332.40201807022095,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,43,2250,6.819999999999993,40,6.519999999999996,305.53249406814575,3.6875133514404297,30.3981876373291,339.6181950569153,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,44,2300,7.060000000000002,142,5.890000000000001,306.2294194698334,2.958678960800171,29.76102328300476,338.9491217136383,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,45,2350,7.180000000000007,164,6.5,312.0431761741638,3.637301445007324,30.506811380386353,346.1872889995575,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,46,2400,7.200000000000003,190,6.1200000000000045,323.31044840812683,2.9825282096862793,31.036158084869385,357.3291347026825,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,47,2450,7.299999999999997,132,6.489999999999995,321.48362398147583,2.981466054916382,30.20422863960266,354.6693186759949,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,48,2500,7.599999999999994,84,6.719999999999999,319.57560896873474,3.6917331218719482,30.29535412788391,353.5626962184906,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,49,2550,7.459999999999994,126,6.299999999999997,326.83208656311035,3.5868921279907227,30.37004542350769,360.78902411460876,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,50,2600,7.359999999999999,152,6.489999999999995,326.9333531856537,3.750011682510376,30.357080936431885,361.04044580459595,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,51,2650,7.420000000000002,120,6.730000000000004,331.9388973712921,3.0117735862731934,30.21743130683899,365.1681022644043,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,52,2700,7.579999999999998,126,7.069999999999993,332.2067861557007,2.9355790615081787,30.455501556396484,365.59786677360535,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,53,2750,7.8799999999999955,18,7.430000000000007,339.56071734428406,2.9412152767181396,30.223095417022705,372.7250280380249,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,54,2800,7.819999999999993,124,6.930000000000007,340.84777450561523,2.9366211891174316,30.12340784072876,373.9078035354614,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,55,2850,7.859999999999999,74,7.310000000000002,345.8877146244049,3.612833261489868,29.885627508163452,379.3861753940582,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,56,2900,7.780000000000001,134,7.3799999999999955,356.018678188324,3.8497517108917236,30.752310276031494,390.6207401752472,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,57,2950,7.719999999999999,38,6.890000000000001,354.1861608028412,3.560290813446045,29.877386808395386,387.6238384246826,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,58,3000,7.959999999999994,172,7.1299999999999955,351.6235876083374,2.9382119178771973,29.876614332199097,384.4384138584137,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,59,3050,7.799999999999997,166,7.670000000000002,359.87718510627747,2.961977958679199,30.17059826850891,393.0097613334656,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,60,3100,7.8799999999999955,140,7.400000000000006,358.51676416397095,3.0003931522369385,30.52209758758545,392.03925490379333,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,61,3150,8.040000000000006,136,7.359999999999999,368.6495304107666,3.0729334354400635,30.481331825256348,402.203795671463,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,62,3200,8.239999999999995,98,7.390000000000001,366.3361372947693,3.067034959793091,30.260196924209595,399.663369178772,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,63,3250,8.040000000000006,22,7.090000000000003,374.145955324173,3.0371556282043457,29.911457538604736,407.09456849098206,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,64,3300,8.040000000000006,36,7.939999999999998,374.40325570106506,3.0099146366119385,30.13405442237854,407.54722476005554,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,65,3350,8.200000000000003,12,7.719999999999999,389.386225938797,3.8567934036254883,29.932554244995117,423.1755735874176,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,66,3400,8.280000000000001,200,7.890000000000001,380.6648814678192,3.6055705547332764,29.756712675094604,414.0271646976471,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,67,3450,8.14,34,7.549999999999997,387.5780494213104,3.57962703704834,29.25747013092041,420.4151465892792,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,68,3500,8.239999999999995,26,7.819999999999993,386.78930473327637,2.963597059249878,29.230386972427368,418.9832887649536,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,69,3550,8.739999999999995,170,7.849999999999994,393.4570231437683,3.580383777618408,30.08196258544922,427.11936950683594,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,70,3600,8.36,126,7.359999999999999,394.2528488636017,3.615933418273926,30.077085971832275,427.9458682537079,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,71,3650,9.120000000000005,64,7.510000000000005,401.23035979270935,3.7305564880371094,29.859211444854736,434.8201277256012,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,72,3700,8.980000000000004,24,8.290000000000006,405.03056812286377,3.369502544403076,29.429264545440674,437.8293352127075,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,73,3750,8.86,66,7.939999999999998,415.7862739562988,3.0157687664031982,29.95171809196472,448.75376081466675,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,74,3800,8.719999999999999,18,7.930000000000007,407.2827160358429,3.0185062885284424,29.85739493370056,440.1586172580719,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,75,3850,8.840000000000003,128,7.900000000000006,412.21616530418396,3.602897882461548,29.80795693397522,445.6270201206207,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,76,3900,8.959999999999994,176,8.040000000000006,414.03520345687866,3.654526472091675,30.04234528541565,447.732075214386,False
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,77,3950,9.159999999999997,176,7.819999999999993,419.5804634094238,3.5447380542755127,29.5391902923584,452.66439175605774,False
