dataset,model,method,seed,exp_name,run_status,episode,labeled_count,best_val_accuracy,best_val_epoch,test_accuracy,train_time_sec,test_time_sec,acquisition_time_sec,round_time_sec,is_initial_sampling
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,-1,50,,,,,,162.4016056060791,162.4016056060791,True
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,0,100,1.8799999999999955,102.0,1.1700000000000017,178.98267436027527,7.474303722381592,112.92787289619446,299.3848509788513,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,1,150,2.299999999999997,18.0,1.6700000000000017,177.70925879478455,4.618024826049805,107.79427981376648,290.12156343460083,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,2,200,2.219999999999999,160.0,1.5300000000000011,176.56841397285461,4.56868839263916,78.81451058387756,259.95161294937134,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,3,250,2.680000000000007,60.0,2.1099999999999994,184.46279764175415,4.417277574539185,103.01980090141296,291.8998761177063,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,4,300,2.8599999999999994,128.0,2.0400000000000063,184.65820384025574,4.804536819458008,102.7571313381195,292.21987199783325,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,5,350,2.780000000000001,158.0,2.1700000000000017,191.4182369709015,4.494418621063232,113.48196172714233,309.39461731910706,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,6,400,3.280000000000001,66.0,2.5900000000000034,194.3293433189392,4.82635760307312,120.56666326522827,319.7223641872406,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,7,450,3.319999999999993,154.0,2.510000000000005,201.57552886009216,4.5248308181762695,106.21827411651611,312.31863379478455,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,8,500,3.5400000000000063,170.0,2.719999999999999,199.95383858680725,4.736469984054565,113.81999325752258,318.5103018283844,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,9,550,3.6200000000000045,58.0,3.069999999999993,207.07799983024597,4.6667680740356445,112.32733225822449,324.0721001625061,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,10,600,3.480000000000004,100.0,2.950000000000003,207.45712518692017,4.779263973236084,104.59850931167603,316.8348984718323,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,11,650,3.9000000000000057,138.0,3.069999999999993,217.07638955116272,4.587891578674316,115.69017934799194,337.354460477829,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,12,700,3.780000000000001,54.0,3.0,218.33219861984253,4.758098125457764,121.94668865203857,345.03698539733887,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,13,750,3.700000000000003,84.0,2.969999999999999,227.79791688919067,4.693585157394409,122.81466865539551,355.3061707019806,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,14,800,3.8400000000000034,118.0,3.269999999999996,226.81562995910645,4.477450370788574,122.89463758468628,354.1877179145813,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,15,850,3.819999999999993,98.0,3.0999999999999943,235.6353063583374,4.338193893432617,110.5687518119812,350.5422520637512,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,16,900,4.1200000000000045,80.0,3.3799999999999955,236.59917569160461,4.968767404556274,145.60943913459778,387.17738223075867,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,17,950,3.980000000000004,152.0,3.5799999999999983,245.53809714317322,4.536886692047119,117.96126985549927,368.0362536907196,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,18,1000,4.560000000000002,82.0,3.6500000000000057,244.88382196426392,4.656054258346558,118.03086400032043,367.5707402229309,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,19,1050,4.519999999999996,88.0,3.7099999999999937,254.603529214859,4.6707963943481445,83.77761435508728,343.05193996429443,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,20,1100,4.560000000000002,150.0,3.799999999999997,255.97478914260864,5.176640748977661,110.5562572479248,371.7076871395111,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,21,1150,4.6200000000000045,142.0,3.980000000000004,263.6710841655731,4.793598413467407,116.67594194412231,385.14062452316284,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,22,1200,4.700000000000003,26.0,3.8499999999999943,261.17437052726746,4.1724841594696045,90.1124439239502,355.45929861068726,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,23,1250,4.959999999999994,184.0,4.609999999999999,272.53204226493835,4.705517530441284,98.13074922561646,375.3683090209961,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,24,1300,5.159999999999997,14.0,4.010000000000005,273.05599570274353,4.544500350952148,139.49312090873718,417.09361696243286,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,25,1350,5.459999999999994,14.0,4.680000000000007,283.12618041038513,4.633026838302612,145.57321643829346,433.3324236869812,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,26,1400,5.280000000000001,20.0,4.060000000000002,282.96163272857666,4.233607530593872,122.21535634994507,409.4105966091156,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,27,1450,5.459999999999994,178.0,4.739999999999995,292.37021946907043,4.7749457359313965,117.49740147590637,414.6425666809082,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,28,1500,5.739999999999995,48.0,4.640000000000001,291.9729571342468,4.672489166259766,117.45946455001831,414.1049108505249,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,29,1550,5.680000000000007,130.0,5.409999999999997,300.9289462566376,4.4579362869262695,111.54228091239929,416.92916345596313,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,30,1600,5.719999999999999,44.0,4.950000000000003,301.7587695121765,4.139812231063843,116.92437052726746,422.8229522705078,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,31,1650,6.040000000000006,68.0,5.329999999999998,311.85460352897644,4.470075368881226,141.73816180229187,458.06284070014954,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,32,1700,5.980000000000004,148.0,5.390000000000001,311.2643222808838,4.521493434906006,113.62641716003418,429.412232875824,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,33,1750,6.040000000000006,30.0,5.269999999999996,320.74944972991943,4.754478454589844,111.8846926689148,437.3886208534241,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,34,1800,6.159999999999997,24.0,5.1200000000000045,322.8042674064636,5.037761449813843,139.06515192985535,466.9071807861328,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,35,1850,6.280000000000001,144.0,5.3700000000000045,331.05233097076416,4.334174871444702,117.60227298736572,452.9887788295746,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,36,1900,6.640000000000001,142.0,5.530000000000001,332.76589465141296,4.853659629821777,83.31059694290161,420.93015122413635,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,37,1950,6.400000000000006,146.0,5.319999999999993,344.5571653842926,4.856871128082275,81.00698471069336,430.42102122306824,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,38,2000,6.439999999999998,128.0,5.849999999999994,347.5392391681671,4.797981023788452,160.2190456390381,512.5562658309937,False
TINYIMAGENET,resnet18,maxherding,1,maxherding_1_50b,complete,39,2050,6.459999999999994,114.0,5.840000000000003,358.28321075439453,4.999065399169922,119.35846710205078,482.64074325561523,False
