dataset,model,method,seed,exp_name,run_status,episode,labeled_count,best_val_accuracy,best_val_epoch,test_accuracy,train_time_sec,test_time_sec,acquisition_time_sec,round_time_sec,is_initial_sampling
TINYIMAGENET,resnet18,random,1,random_1_50b,complete,0,100,2.480000000000004,98,2.019999999999996,161.44862174987793,4.13275671005249,0.053282976150512695,165.63466143608093,False
TINYIMAGENET,resnet18,random,1,random_1_50b,complete,1,150,2.200000000000003,100,1.8900000000000006,164.28620529174805,3.006721019744873,0.024476289749145508,167.31740260124207,False
TINYIMAGENET,resnet18,random,1,random_1_50b,complete,2,200,2.5799999999999983,84,2.030000000000001,169.98065447807312,3.1297569274902344,0.018094301223754883,173.1285057067871,False
TINYIMAGENET,resnet18,random,1,random_1_50b,complete,3,250,2.680000000000007,198,2.299999999999997,173.35304307937622,3.0192573070526123,0.023336410522460938,176.3956367969513,False
TINYIMAGENET,resnet18,random,1,random_1_50b,complete,4,300,3.0999999999999943,66,2.1299999999999955,182.98343563079834,4.072970151901245,0.019552230834960938,187.07595801353455,False
TINYIMAGENET,resnet18,random,1,random_1_50b,complete,5,350,3.180000000000007,18,2.680000000000007,182.28805136680603,3.0834789276123047,0.018314838409423828,185.38984513282776,False
TINYIMAGENET,resnet18,random,1,random_1_50b,complete,6,400,3.480000000000004,198,3.269999999999996,181.1305422782898,3.045520305633545,0.020091772079467773,184.1961543560028,False
TINYIMAGENET,resnet18,random,1,random_1_50b,complete,7,450,3.9200000000000017,122,3.680000000000007,189.70876264572144,2.9746482372283936,0.018370628356933594,192.70178151130676,False
TINYIMAGENET,resnet18,random,1,random_1_50b,complete,8,500,4.180000000000007,198,4.150000000000006,189.69769978523254,3.2192656993865967,0.01847529411315918,192.9354407787323,False
TINYIMAGENET,resnet18,random,1,random_1_50b,complete,9,550,4.659999999999997,186,3.200000000000003,196.56671977043152,3.0288140773773193,0.019751787185668945,199.6152856349945,False
TINYIMAGENET,resnet18,random,1,random_1_50b,complete,10,600,4.400000000000006,174,4.170000000000002,195.2595362663269,4.009429693222046,0.018471479415893555,199.28743743896484,False
TINYIMAGENET,resnet18,random,1,random_1_50b,complete,11,650,4.6200000000000045,90,4.340000000000003,204.18604040145874,3.0557937622070312,0.018184661865234375,207.260018825531,False
TINYIMAGENET,resnet18,random,1,random_1_50b,complete,12,700,4.900000000000006,112,4.359999999999999,204.21792697906494,3.167572259902954,0.019945859909057617,207.40544509887695,False
TINYIMAGENET,resnet18,random,1,random_1_50b,complete,13,750,4.959999999999994,180,3.989999999999995,211.21663761138916,3.2101075649261475,0.023436307907104492,214.4501814842224,False
TINYIMAGENET,resnet18,random,1,random_1_50b,complete,14,800,4.900000000000006,120,4.989999999999995,211.94364547729492,3.1258022785186768,0.016417741775512695,215.0858654975891,False
TINYIMAGENET,resnet18,random,1,random_1_50b,complete,15,850,5.420000000000002,38,5.079999999999998,221.28853559494019,3.1508052349090576,0.023268699645996094,224.46260952949524,False
