task_id	method	experiment_id	seed	initial_lset_path	initial_lset_sha256
0	ProbCover	THESIS_APPENDIX_MATCHED_START_20260903_PROBCOVER_D060_S1_B050	1	/vast/s219110279/TypiClust/output/CIFAR100/resnet18/random_1_50b/lSet.npy	d8d333015e287d93992149c47ca036923f47620ece09b5f8a648020972a8ed50
1	ProbCover	THESIS_APPENDIX_MATCHED_START_20260903_PROBCOVER_D060_S2_B050	2	/vast/s219110279/TypiClust/output/CIFAR100/resnet18/random_2_50b/lSet.npy	dc2394960fb307aa2070144bcb4bbde86127ef064e7525814475a7fa63fb0e5d
2	ProbCover	THESIS_APPENDIX_MATCHED_START_20260903_PROBCOVER_D060_S3_B050	3	/vast/s219110279/TypiClust/output/CIFAR100/resnet18/random_3_50b/lSet.npy	3f769280b599f5b3c8485566a7efb5345d57907f8fa49557707655f265e11588
3	ProbCover	THESIS_APPENDIX_MATCHED_START_20260903_PROBCOVER_D060_S4_B050	4	/vast/s219110279/TypiClust/output/CIFAR100/resnet18/random_4_50b/lSet.npy	eb82fde212c6bce716d9fa0f74edf2c0c43349ec8c433de31ae04395c8c1dc72
4	ProbCover	THESIS_APPENDIX_MATCHED_START_20260903_PROBCOVER_D060_S5_B050	5	/vast/s219110279/TypiClust/output/CIFAR100/resnet18/random_5_50b/lSet.npy	4a705e4c9f2d362ea46462851f918cbbc5040019e08f902ac73dc15f02c38adb
5	LIDCover	THESIS_APPENDIX_MATCHED_START_20260903_LIDCOVER_D025_S1_B050	1	/vast/s219110279/TypiClust/output/CIFAR100/resnet18/random_1_50b/lSet.npy	d8d333015e287d93992149c47ca036923f47620ece09b5f8a648020972a8ed50
6	LIDCover	THESIS_APPENDIX_MATCHED_START_20260903_LIDCOVER_D025_S2_B050	2	/vast/s219110279/TypiClust/output/CIFAR100/resnet18/random_2_50b/lSet.npy	dc2394960fb307aa2070144bcb4bbde86127ef064e7525814475a7fa63fb0e5d
7	LIDCover	THESIS_APPENDIX_MATCHED_START_20260903_LIDCOVER_D025_S3_B050	3	/vast/s219110279/TypiClust/output/CIFAR100/resnet18/random_3_50b/lSet.npy	3f769280b599f5b3c8485566a7efb5345d57907f8fa49557707655f265e11588
8	LIDCover	THESIS_APPENDIX_MATCHED_START_20260903_LIDCOVER_D025_S4_B050	4	/vast/s219110279/TypiClust/output/CIFAR100/resnet18/random_4_50b/lSet.npy	eb82fde212c6bce716d9fa0f74edf2c0c43349ec8c433de31ae04395c8c1dc72
9	LIDCover	THESIS_APPENDIX_MATCHED_START_20260903_LIDCOVER_D025_S5_B050	5	/vast/s219110279/TypiClust/output/CIFAR100/resnet18/random_5_50b/lSet.npy	4a705e4c9f2d362ea46462851f918cbbc5040019e08f902ac73dc15f02c38adb
10	MSTC	THESIS_APPENDIX_MATCHED_START_20260903_MSTC_C070_F050_A070_S1_B050	1	/vast/s219110279/TypiClust/output/CIFAR100/resnet18/random_1_50b/lSet.npy	d8d333015e287d93992149c47ca036923f47620ece09b5f8a648020972a8ed50
11	MSTC	THESIS_APPENDIX_MATCHED_START_20260903_MSTC_C070_F050_A070_S2_B050	2	/vast/s219110279/TypiClust/output/CIFAR100/resnet18/random_2_50b/lSet.npy	dc2394960fb307aa2070144bcb4bbde86127ef064e7525814475a7fa63fb0e5d
12	MSTC	THESIS_APPENDIX_MATCHED_START_20260903_MSTC_C070_F050_A070_S3_B050	3	/vast/s219110279/TypiClust/output/CIFAR100/resnet18/random_3_50b/lSet.npy	3f769280b599f5b3c8485566a7efb5345d57907f8fa49557707655f265e11588
13	MSTC	THESIS_APPENDIX_MATCHED_START_20260903_MSTC_C070_F050_A070_S4_B050	4	/vast/s219110279/TypiClust/output/CIFAR100/resnet18/random_4_50b/lSet.npy	eb82fde212c6bce716d9fa0f74edf2c0c43349ec8c433de31ae04395c8c1dc72
14	MSTC	THESIS_APPENDIX_MATCHED_START_20260903_MSTC_C070_F050_A070_S5_B050	5	/vast/s219110279/TypiClust/output/CIFAR100/resnet18/random_5_50b/lSet.npy	4a705e4c9f2d362ea46462851f918cbbc5040019e08f902ac73dc15f02c38adb
