task_id	experiment_id	seed	alpha	alpha_tag
0	THESIS_APPENDIX_REPAIR_20260901_MSTC_C070_F050_A025_S1_B050	1	0.25	A025
1	THESIS_APPENDIX_REPAIR_20260901_MSTC_C070_F050_A025_S2_B050	2	0.25	A025
2	THESIS_APPENDIX_REPAIR_20260901_MSTC_C070_F050_A025_S3_B050	3	0.25	A025
3	THESIS_APPENDIX_REPAIR_20260901_MSTC_C070_F050_A025_S4_B050	4	0.25	A025
4	THESIS_APPENDIX_REPAIR_20260901_MSTC_C070_F050_A025_S5_B050	5	0.25	A025
5	THESIS_APPENDIX_REPAIR_20260901_MSTC_C070_F050_A050_S1_B050	1	0.50	A050
6	THESIS_APPENDIX_REPAIR_20260901_MSTC_C070_F050_A050_S2_B050	2	0.50	A050
7	THESIS_APPENDIX_REPAIR_20260901_MSTC_C070_F050_A050_S3_B050	3	0.50	A050
8	THESIS_APPENDIX_REPAIR_20260901_MSTC_C070_F050_A050_S4_B050	4	0.50	A050
9	THESIS_APPENDIX_REPAIR_20260901_MSTC_C070_F050_A050_S5_B050	5	0.50	A050
10	THESIS_APPENDIX_REPAIR_20260901_MSTC_C070_F050_A075_S1_B050	1	0.75	A075
11	THESIS_APPENDIX_REPAIR_20260901_MSTC_C070_F050_A075_S2_B050	2	0.75	A075
12	THESIS_APPENDIX_REPAIR_20260901_MSTC_C070_F050_A075_S3_B050	3	0.75	A075
13	THESIS_APPENDIX_REPAIR_20260901_MSTC_C070_F050_A075_S4_B050	4	0.75	A075
14	THESIS_APPENDIX_REPAIR_20260901_MSTC_C070_F050_A075_S5_B050	5	0.75	A075
