folder	script	dataset	backbone	exp_name	command
cifar10_full_50b	coreset.sh	CIFAR10	resnet50	coreset_5_50b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar10/al/RESNET50.yaml --al=coreset --exp-name=coreset_5_50b --budget=50 --initial_size=50 --seed 5
cifar10_full_50b	density_cover.sh	CIFAR10	resnet50	density_cover_1_50b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar10/al/RESNET50.yaml --al=density_cover --exp-name=density_cover_1_50b --budget=50 --initial_size=0 --initial_delta=0.25 --arc_alpha=1.0 --arc_k_signal=50 --arc_k_knn=50 --arc_cache_root=/scratch/s219110279/idpc_cache/resnet50/adaptive_cover --seed 1
cifar10_full_50b	distance_cv_cover.sh	CIFAR10	resnet50	distance_cv_cover_1_50b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar10/al/RESNET50.yaml --al=distance_cv_cover --exp-name=distance_cv_cover_1_50b --budget=50 --initial_size=0 --initial_delta=0.25 --arc_alpha=1.0 --arc_k_signal=50 --arc_k_knn=50 --arc_cache_root=/scratch/s219110279/idpc_cache/resnet50/adaptive_cover --seed 1
cifar10_full_50b	distance_variance_cover.sh	CIFAR10	resnet50	distance_variance_cover_1_50b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar10/al/RESNET50.yaml --al=distance_variance_cover --exp-name=distance_variance_cover_1_50b --budget=50 --initial_size=0 --initial_delta=0.25 --arc_alpha=1.0 --arc_k_signal=50 --arc_k_knn=50 --arc_cache_root=/scratch/s219110279/idpc_cache/resnet50/adaptive_cover --seed 1
cifar10_full_50b	knn_distance_cover.sh	CIFAR10	resnet50	knn_distance_cover_1_50b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar10/al/RESNET50.yaml --al=knn_distance_cover --exp-name=knn_distance_cover_1_50b --budget=50 --initial_size=0 --initial_delta=0.25 --arc_alpha=1.0 --arc_k_signal=50 --arc_k_knn=50 --arc_cache_root=/scratch/s219110279/idpc_cache/resnet50/adaptive_cover --seed 1
cifar100_budget_ablation	LIDCOVER_500b.sh	CIFAR100	resnet50	LIDCOVER_1_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/RESNET50.yaml --al=idprobcover --exp-name=LIDCOVER_1_500b --budget=500 --initial_size=0 --initial_delta=0.25 --idpc_alpha=1.0 --idpc_mode=high_id_more_centers --idpc_k_id=50 --idpc_k_knn=50 --idpc_cache_root=/scratch/s219110279/idpc_cache/resnet50 --seed 1
cifar100_budget_ablation	LIDCOVER_500b.sh	CIFAR100	resnet50	LIDCOVER_2_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/RESNET50.yaml --al=idprobcover --exp-name=LIDCOVER_2_500b --budget=500 --initial_size=0 --initial_delta=0.25 --idpc_alpha=1.0 --idpc_mode=high_id_more_centers --idpc_k_id=50 --idpc_k_knn=50 --idpc_cache_root=/scratch/s219110279/idpc_cache/resnet50 --seed 2
cifar100_budget_ablation	LIDCOVER_500b.sh	CIFAR100	resnet50	LIDCOVER_3_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/RESNET50.yaml --al=idprobcover --exp-name=LIDCOVER_3_500b --budget=500 --initial_size=0 --initial_delta=0.25 --idpc_alpha=1.0 --idpc_mode=high_id_more_centers --idpc_k_id=50 --idpc_k_knn=50 --idpc_cache_root=/scratch/s219110279/idpc_cache/resnet50 --seed 3
cifar100_budget_ablation	LIDCOVER_500b.sh	CIFAR100	resnet50	LIDCOVER_4_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/RESNET50.yaml --al=idprobcover --exp-name=LIDCOVER_4_500b --budget=500 --initial_size=0 --initial_delta=0.25 --idpc_alpha=1.0 --idpc_mode=high_id_more_centers --idpc_k_id=50 --idpc_k_knn=50 --idpc_cache_root=/scratch/s219110279/idpc_cache/resnet50 --seed 4
cifar100_budget_ablation	LIDCOVER_500b.sh	CIFAR100	resnet50	LIDCOVER_5_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/RESNET50.yaml --al=idprobcover --exp-name=LIDCOVER_5_500b --budget=500 --initial_size=0 --initial_delta=0.25 --idpc_alpha=1.0 --idpc_mode=high_id_more_centers --idpc_k_id=50 --idpc_k_knn=50 --idpc_cache_root=/scratch/s219110279/idpc_cache/resnet50 --seed 5
