idx	kind	dataset	backbone	seed	delta_coarse	delta_fine	alpha	batch_budget	experiment	sbatch
0	coarse_only	cifar10	alexnet	1	0.70	0.50	1.00	50	MSTC_C070_F050_A100_1_50b	coarse_only_c10_alex_c070_f050_a100_s1_b050.sbatch
1	coarse_only	cifar10	alexnet	2	0.70	0.50	1.00	50	MSTC_C070_F050_A100_2_50b	coarse_only_c10_alex_c070_f050_a100_s2_b050.sbatch
2	coarse_only	cifar10	alexnet	3	0.70	0.50	1.00	50	MSTC_C070_F050_A100_3_50b	coarse_only_c10_alex_c070_f050_a100_s3_b050.sbatch
3	coarse_only	cifar10	alexnet	4	0.70	0.50	1.00	50	MSTC_C070_F050_A100_4_50b	coarse_only_c10_alex_c070_f050_a100_s4_b050.sbatch
4	coarse_only	cifar10	alexnet	5	0.70	0.50	1.00	50	MSTC_C070_F050_A100_5_50b	coarse_only_c10_alex_c070_f050_a100_s5_b050.sbatch
5	coarse_only	cifar10	resnet18	1	0.70	0.50	1.00	50	MSTC_C070_F050_A100_1_50b	coarse_only_c10_r18_c070_f050_a100_s1_b050.sbatch
6	coarse_only	cifar10	resnet18	2	0.70	0.50	1.00	50	MSTC_C070_F050_A100_2_50b	coarse_only_c10_r18_c070_f050_a100_s2_b050.sbatch
7	coarse_only	cifar10	resnet18	3	0.70	0.50	1.00	50	MSTC_C070_F050_A100_3_50b	coarse_only_c10_r18_c070_f050_a100_s3_b050.sbatch
8	coarse_only	cifar10	resnet18	4	0.70	0.50	1.00	50	MSTC_C070_F050_A100_4_50b	coarse_only_c10_r18_c070_f050_a100_s4_b050.sbatch
9	coarse_only	cifar10	resnet18	5	0.70	0.50	1.00	50	MSTC_C070_F050_A100_5_50b	coarse_only_c10_r18_c070_f050_a100_s5_b050.sbatch
10	coarse_only	cifar10	resnet50	1	0.70	0.50	1.00	50	MSTC_C070_F050_A100_1_50b	coarse_only_c10_r50_c070_f050_a100_s1_b050.sbatch
11	coarse_only	cifar10	resnet50	2	0.70	0.50	1.00	50	MSTC_C070_F050_A100_2_50b	coarse_only_c10_r50_c070_f050_a100_s2_b050.sbatch
12	coarse_only	cifar10	resnet50	3	0.70	0.50	1.00	50	MSTC_C070_F050_A100_3_50b	coarse_only_c10_r50_c070_f050_a100_s3_b050.sbatch
13	coarse_only	cifar10	resnet50	4	0.70	0.50	1.00	50	MSTC_C070_F050_A100_4_50b	coarse_only_c10_r50_c070_f050_a100_s4_b050.sbatch
14	coarse_only	cifar10	resnet50	5	0.70	0.50	1.00	50	MSTC_C070_F050_A100_5_50b	coarse_only_c10_r50_c070_f050_a100_s5_b050.sbatch
15	coarse_only	cifar100	alexnet	1	0.70	0.50	1.00	50	MSTC_C070_F050_A100_1_50b	coarse_only_c100_alex_c070_f050_a100_s1_b050.sbatch
16	coarse_only	cifar100	alexnet	2	0.70	0.50	1.00	50	MSTC_C070_F050_A100_2_50b	coarse_only_c100_alex_c070_f050_a100_s2_b050.sbatch
17	coarse_only	cifar100	alexnet	3	0.70	0.50	1.00	50	MSTC_C070_F050_A100_3_50b	coarse_only_c100_alex_c070_f050_a100_s3_b050.sbatch
18	coarse_only	cifar100	alexnet	4	0.70	0.50	1.00	50	MSTC_C070_F050_A100_4_50b	coarse_only_c100_alex_c070_f050_a100_s4_b050.sbatch
19	coarse_only	cifar100	alexnet	5	0.70	0.50	1.00	50	MSTC_C070_F050_A100_5_50b	coarse_only_c100_alex_c070_f050_a100_s5_b050.sbatch
20	coarse_only	cifar100	resnet18	1	0.70	0.50	1.00	50	MSTC_C070_F050_A100_1_50b	coarse_only_c100_r18_c070_f050_a100_s1_b050.sbatch
21	coarse_only	cifar100	resnet18	2	0.70	0.50	1.00	50	MSTC_C070_F050_A100_2_50b	coarse_only_c100_r18_c070_f050_a100_s2_b050.sbatch
22	coarse_only	cifar100	resnet18	3	0.70	0.50	1.00	50	MSTC_C070_F050_A100_3_50b	coarse_only_c100_r18_c070_f050_a100_s3_b050.sbatch
23	coarse_only	cifar100	resnet18	4	0.70	0.50	1.00	50	MSTC_C070_F050_A100_4_50b	coarse_only_c100_r18_c070_f050_a100_s4_b050.sbatch
24	coarse_only	cifar100	resnet18	5	0.70	0.50	1.00	50	MSTC_C070_F050_A100_5_50b	coarse_only_c100_r18_c070_f050_a100_s5_b050.sbatch
25	coarse_only	cifar100	resnet50	1	0.70	0.50	1.00	50	MSTC_C070_F050_A100_1_50b	coarse_only_c100_r50_c070_f050_a100_s1_b050.sbatch
26	coarse_only	cifar100	resnet50	2	0.70	0.50	1.00	50	MSTC_C070_F050_A100_2_50b	coarse_only_c100_r50_c070_f050_a100_s2_b050.sbatch
27	coarse_only	cifar100	resnet50	3	0.70	0.50	1.00	50	MSTC_C070_F050_A100_3_50b	coarse_only_c100_r50_c070_f050_a100_s3_b050.sbatch
28	coarse_only	cifar100	resnet50	4	0.70	0.50	1.00	50	MSTC_C070_F050_A100_4_50b	coarse_only_c100_r50_c070_f050_a100_s4_b050.sbatch
29	coarse_only	cifar100	resnet50	5	0.70	0.50	1.00	50	MSTC_C070_F050_A100_5_50b	coarse_only_c100_r50_c070_f050_a100_s5_b050.sbatch
30	coarse_only	tinyimagenet	alexnet	1	0.70	0.50	1.00	50	MSTC_C070_F050_A100_1_50b	coarse_only_tin_alex_c070_f050_a100_s1_b050.sbatch
31	coarse_only	tinyimagenet	alexnet	2	0.70	0.50	1.00	50	MSTC_C070_F050_A100_2_50b	coarse_only_tin_alex_c070_f050_a100_s2_b050.sbatch
32	coarse_only	tinyimagenet	alexnet	3	0.70	0.50	1.00	50	MSTC_C070_F050_A100_3_50b	coarse_only_tin_alex_c070_f050_a100_s3_b050.sbatch
