dataset	backbone	strategy	seed	experiment	sbatch
CIFAR10	alexnet	distance_variance_cover	4	distance_variance_cover_4_50b	c10_alexnet_distvar_s4_b050.sbatch
CIFAR10	resnet50	distance_variance_cover	3	distance_variance_cover_3_50b	c10_resnet50_distvar_s3_b050.sbatch
CIFAR10	resnet50	knn_distance_cover	2	knn_distance_cover_2_50b	c10_resnet50_knndist_s2_b050.sbatch
CIFAR10	resnet50	knn_distance_cover	3	knn_distance_cover_3_50b	c10_resnet50_knndist_s3_b050.sbatch
CIFAR10	resnet50	knn_distance_cover	5	knn_distance_cover_5_50b	c10_resnet50_knndist_s5_b050.sbatch
CIFAR10	resnet50	density_cover	2	density_cover_2_50b	c10_resnet50_density_s2_b050.sbatch
CIFAR10	resnet50	density_cover	3	density_cover_3_50b	c10_resnet50_density_s3_b050.sbatch
CIFAR10	resnet50	density_cover	4	density_cover_4_50b	c10_resnet50_density_s4_b050.sbatch
CIFAR10	resnet50	density_cover	5	density_cover_5_50b	c10_resnet50_density_s5_b050.sbatch
CIFAR10	resnet50	dbal	4	dbal_4_50b	c10_resnet50_dbal_s4_b050.sbatch
CIFAR10	resnet50	dbal	5	dbal_5_50b	c10_resnet50_dbal_s5_b050.sbatch
TINYIMAGENET	resnet50	distance_variance_cover	5	distance_variance_cover_5_50b	tin_resnet50_distvar_s5_b050.sbatch
